[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[46, 48]; [-1, -0.95]: 0 / 0
[46, 48]; [-0.95, -0.9]: 0 / 0
[46, 48]; [-0.9, -0.85]: 0 / 0
[46, 48]; [-0.85, -0.8]: 0 / 0
[46, 48]; [-0.8, -0.75]: 1276 / 5160
[46, 48]; [-0.75, -0.7]: 4060 / 15969
[46, 48]; [-0.7, -0.65]: 4114 / 16668
[46, 48]; [-0.65, -0.6]: 3897 / 16554
[46, 48]; [-0.6, -0.55]: 3868 / 16384
[46, 48]; [-0.55, -0.5]: 3853 / 16251
[46, 48]; [-0.5, -0.45]: 3848 / 16117
[46, 48]; [-0.45, -0.4]: 3812 / 16032
[46, 48]; [-0.4, -0.35]: 3709 / 15882
[46, 48]; [-0.35, -0.3]: 3617 / 15537
[46, 48]; [-0.3, -0.25]: 3627 / 15592
[46, 48]; [-0.25, -0.2]: 3682 / 15462
[46, 48]; [-0.2, -0.15]: 3647 / 15617
[46, 48]; [-0.15, -0.1]: 3410 / 15179
[46, 48]; [-0.1, -0.05]: 3523 / 15381
[46, 48]; [-0.05, 0]: 3581 / 15403
[46, 48]; [0, 0.05]: 3361 / 15607
[46, 48]; [0.05, 0.1]: 3561 / 15313
[46, 48]; [0.1, 0.15]: 3586 / 15277
[46, 48]; [0.15, 0.2]: 3641 / 15425
[46, 48]; [0.2, 0.25]: 3615 / 15608
[46, 48]; [0.25, 0.3]: 3626 / 15509
[46, 48]; [0.3, 0.35]: 3649 / 15722
[46, 48]; [0.35, 0.4]: 3814 / 15974
[46, 48]; [0.4, 0.45]: 3719 / 15900
[46, 48]; [0.45, 0.5]: 3736 / 16230
[46, 48]; [0.5, 0.55]: 3938 / 16378
[46, 48]; [0.55, 0.6]: 4019 / 16413
[46, 48]; [0.6, 0.65]: 3999 / 16545
[46, 48]; [0.65, 0.7]: 4157 / 17366
[46, 48]; [0.7, 0.75]: 3956 / 16151
[46, 48]; [0.75, 0.8]: 1322 / 5435
[46, 48]; [0.8, 0.85]: 0 / 0
[46, 48]; [0.85, 0.9]: 0 / 0
[46, 48]; [0.9, 0.95]: 0 / 0
[46, 48]; [0.95, 1]: 0 / 0

[48, 50]; [-1, -0.95]: 0 / 0
[48, 50]; [-0.95, -0.9]: 0 / 0
[48, 50]; [-0.9, -0.85]: 0 / 0
[48, 50]; [-0.85, -0.8]: 3 / 20
[48, 50]; [-0.8, -0.75]: 1613 / 6455
[48, 50]; [-0.75, -0.7]: 3371 / 14213
[48, 50]; [-0.7, -0.65]: 3377 / 14067
[48, 50]; [-0.65, -0.6]: 3210 / 13706
[48, 50]; [-0.6, -0.55]: 3068 / 13697
[48, 50]; [-0.55, -0.5]: 3038 / 13504
[48, 50]; [-0.5, -0.45]: 3030 / 13332
[48, 50]; [-0.45, -0.4]: 2953 / 13123
[48, 50]; [-0.4, -0.35]: 2865 / 13179
[48, 50]; [-0.35, -0.3]: 2872 / 12978
[48, 50]; [-0.3, -0.25]: 2752 / 13048
[48, 50]; [-0.25, -0.2]: 2808 / 12771
[48, 50]; [-0.2, -0.15]: 2772 / 12864
[48, 50]; [-0.15, -0.1]: 2798 / 12555
[48, 50]; [-0.1, -0.05]: 2861 / 12631
[48, 50]; [-0.05, 0]: 2740 / 12704
[48, 50]; [0, 0.05]: 2852 / 12611
[48, 50]; [0.05, 0.1]: 2846 / 12804
[48, 50]; [0.1, 0.15]: 2838 / 12678
[48, 50]; [0.15, 0.2]: 2807 / 12875
[48, 50]; [0.2, 0.25]: 2861 / 12865
[48, 50]; [0.25, 0.3]: 2868 / 13087
[48, 50]; [0.3, 0.35]: 2906 / 12865
[48, 50]; [0.35, 0.4]: 2972 / 13208
[48, 50]; [0.4, 0.45]: 3018 / 13403
[48, 50]; [0.45, 0.5]: 3022 / 13337
[48, 50]; [0.5, 0.55]: 3023 / 13472
[48, 50]; [0.55, 0.6]: 3208 / 13583
