[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[66, 68]; [-1, -0.95]: 0 / 0
[66, 68]; [-0.95, -0.9]: 0 / 0
[66, 68]; [-0.9, -0.85]: 3 / 23
[66, 68]; [-0.85, -0.8]: 737 / 5794
[66, 68]; [-0.8, -0.75]: 1033 / 8636
[66, 68]; [-0.75, -0.7]: 1058 / 8145
[66, 68]; [-0.7, -0.65]: 1024 / 8244
[66, 68]; [-0.65, -0.6]: 1003 / 8236
[66, 68]; [-0.6, -0.55]: 1096 / 7980
[66, 68]; [-0.55, -0.5]: 1029 / 7842
[66, 68]; [-0.5, -0.45]: 1018 / 7651
[66, 68]; [-0.45, -0.4]: 991 / 7437
[66, 68]; [-0.4, -0.35]: 1004 / 7315
[66, 68]; [-0.35, -0.3]: 919 / 7165
[66, 68]; [-0.3, -0.25]: 967 / 7148
[66, 68]; [-0.25, -0.2]: 975 / 6825
[66, 68]; [-0.2, -0.15]: 968 / 6838
[66, 68]; [-0.15, -0.1]: 965 / 7014
[66, 68]; [-0.1, -0.05]: 923 / 6923
[66, 68]; [-0.05, 0]: 980 / 6919
[66, 68]; [0, 0.05]: 930 / 6908
[66, 68]; [0.05, 0.1]: 938 / 6863
[66, 68]; [0.1, 0.15]: 929 / 6815
[66, 68]; [0.15, 0.2]: 928 / 6820
[66, 68]; [0.2, 0.25]: 988 / 6887
[66, 68]; [0.25, 0.3]: 968 / 6986
[66, 68]; [0.3, 0.35]: 1012 / 7092
[66, 68]; [0.35, 0.4]: 997 / 7301
[66, 68]; [0.4, 0.45]: 1005 / 7529
[66, 68]; [0.45, 0.5]: 986 / 7642
[66, 68]; [0.5, 0.55]: 1016 / 7983
[66, 68]; [0.55, 0.6]: 1001 / 7970
[66, 68]; [0.6, 0.65]: 1068 / 8078
[66, 68]; [0.65, 0.7]: 999 / 8133
[66, 68]; [0.7, 0.75]: 1011 / 8487
[66, 68]; [0.75, 0.8]: 1112 / 8729
[66, 68]; [0.8, 0.85]: 738 / 6025
[66, 68]; [0.85, 0.9]: 2 / 22
[66, 68]; [0.9, 0.95]: 0 / 0
[66, 68]; [0.95, 1]: 0 / 0

[68, 70]; [-1, -0.95]: 0 / 0
[68, 70]; [-0.95, -0.9]: 0 / 0
[68, 70]; [-0.9, -0.85]: 8 / 85
[68, 70]; [-0.85, -0.8]: 699 / 5999
[68, 70]; [-0.8, -0.75]: 873 / 7707
[68, 70]; [-0.75, -0.7]: 882 / 7345
[68, 70]; [-0.7, -0.65]: 884 / 7247
[68, 70]; [-0.65, -0.6]: 885 / 7073
[68, 70]; [-0.6, -0.55]: 887 / 7097
[68, 70]; [-0.55, -0.5]: 921 / 7012
[68, 70]; [-0.5, -0.45]: 857 / 6771
[68, 70]; [-0.45, -0.4]: 840 / 6622
[68, 70]; [-0.4, -0.35]: 823 / 6370
[68, 70]; [-0.35, -0.3]: 765 / 6135
[68, 70]; [-0.3, -0.25]: 775 / 5950
[68, 70]; [-0.25, -0.2]: 799 / 5934
[68, 70]; [-0.2, -0.15]: 832 / 5976
[68, 70]; [-0.15, -0.1]: 810 / 6055
[68, 70]; [-0.1, -0.05]: 788 / 6221
[68, 70]; [-0.05, 0]: 812 / 5986
[68, 70]; [0, 0.05]: 832 / 6069
[68, 70]; [0.05, 0.1]: 787 / 6002
[68, 70]; [0.1, 0.15]: 742 / 6010
[68, 70]; [0.15, 0.2]: 809 / 6096
[68, 70]; [0.2, 0.25]: 828 / 6059
[68, 70]; [0.25, 0.3]: 784 / 6097
[68, 70]; [0.3, 0.35]: 859 / 6206
[68, 70]; [0.35, 0.4]: 814 / 6255
[68, 70]; [0.4, 0.45]: 838 / 6404
[68, 70]; [0.45, 0.5]: 791 / 6970
[68, 70]; [0.5, 0.55]: 896 / 6842
[68, 70]; [0.55, 0.6]: 898 / 7151
[68, 70]; [0.6, 0.65]: 850 / 7114
[68, 70]; [0.65, 0.7]: 852 / 7266
[68, 70]; [0.7, 0.75]: 863 / 7465
[68, 70]; [0.75, 0.8]: 884 / 7874
[68, 70]; [0.8, 0.85]: 740 / 6054
[68, 70]; [0.85, 0.9]: 13 / 94
[68, 70]; [0.9, 0.95]: 0 / 0
[68, 70]; [0.95, 1]: 0 / 0

[70, 72]; [-1, -0.95]: 0 / 0
[70, 72]; [-0.95, -0.9]: 0 / 0
[70, 72]; [-0.9, -0.85]: 17 / 178
[70, 72]; [-0.85, -0.8]: 635 / 5590
[70, 72]; [-0.8, -0.75]: 774 / 6910
[70, 72]; [-0.75, -0.7]: 826 / 6414
[70, 72]; [-0.7, -0.65]: 704 / 6266
[70, 72]; [-0.65, -0.6]: 730 / 6009
[70, 72]; [-0.6, -0.55]: 775 / 6118
[70, 72]; [-0.55, -0.5]: 798 / 5916
[70, 72]; [-0.5, -0.45]: 689 / 5774
[70, 72]; [-0.45, -0.4]: 720 / 5682
[70, 72]; [-0.4, -0.35]: 674 / 5514
[70, 72]; [-0.35, -0.3]: 671 / 5300
[70, 72]; [-0.3, -0.25]: 686 / 5168
[70, 72]; [-0.25, -0.2]: 638 / 5275
[70, 72]; [-0.2, -0.15]: 672 / 5195
[70, 72]; [-0.15, -0.1]: 720 / 5185
[70, 72]; [-0.1, -0.05]: 683 / 5350
[70, 72]; [-0.05, 0]: 678 / 5286
[70, 72]; [0, 0.05]: 652 / 5286
[70, 72]; [0.05, 0.1]: 702 / 5366
[70, 72]; [0.1, 0.15]: 668 / 5262
[70, 72]; [0.15, 0.2]: 718 / 5242
[70, 72]; [0.2, 0.25]: 660 / 5293
[70, 72]; [0.25, 0.3]: 670 / 5221
[70, 72]; [0.3, 0.35]: 672 / 5500
[70, 72]; [0.35, 0.4]: 759 / 5537
[70, 72]; [0.4, 0.45]: 743 / 5650
[70, 72]; [0.45, 0.5]: 717 / 5911
[70, 72]; [0.5, 0.55]: 731 / 6037
[70, 72]; [0.55, 0.6]: 759 / 6176
[70, 72]; [0.6, 0.65]: 699 / 6260
[70, 72]; [0.65, 0.7]: 793 / 6413
[70, 72]; [0.7, 0.75]: 717 / 6601
[70, 72]; [0.75, 0.8]: 774 / 6835
[70, 72]; [0.8, 0.85]: 633 / 5923
[70, 72]; [0.85, 0.9]: 25 / 200
[70, 72]; [0.9, 0.95]: 0 / 0
[70, 72]; [0.95, 1]: 0 / 0

[72, 74]; [-1, -0.95]: 0 / 0
