[pTmin, pTmax]; [cosmin, cosmax]: PR entries / NP entries

[25, 26]; [-1, -0.95]: 0 / 0
[25, 26]; [-0.95, -0.9]: 0 / 0
[25, 26]; [-0.9, -0.85]: 0 / 0
[25, 26]; [-0.85, -0.8]: 0 / 0
[25, 26]; [-0.8, -0.75]: 0 / 0
[25, 26]; [-0.75, -0.7]: 0 / 0
[25, 26]; [-0.7, -0.65]: 0 / 0
[25, 26]; [-0.65, -0.6]: 3240 / 3937
[25, 26]; [-0.6, -0.55]: 20999 / 25269
[25, 26]; [-0.55, -0.5]: 41392 / 49732
[25, 26]; [-0.5, -0.45]: 50012 / 61013
[25, 26]; [-0.45, -0.4]: 50733 / 62446
[25, 26]; [-0.4, -0.35]: 50396 / 63395
[25, 26]; [-0.35, -0.3]: 50301 / 62853
[25, 26]; [-0.3, -0.25]: 49307 / 62706
[25, 26]; [-0.25, -0.2]: 49725 / 63373
[25, 26]; [-0.2, -0.15]: 49211 / 63459
[25, 26]; [-0.15, -0.1]: 49490 / 64093
[25, 26]; [-0.1, -0.05]: 49403 / 63837
[25, 26]; [-0.05, 0]: 49526 / 64275
[25, 26]; [0, 0.05]: 49307 / 64422
[25, 26]; [0.05, 0.1]: 49700 / 64115
[25, 26]; [0.1, 0.15]: 49434 / 64284
[25, 26]; [0.15, 0.2]: 50188 / 63990
[25, 26]; [0.2, 0.25]: 49671 / 63555
[25, 26]; [0.25, 0.3]: 49925 / 63444
[25, 26]; [0.3, 0.35]: 50268 / 63143
[25, 26]; [0.35, 0.4]: 50646 / 62950
[25, 26]; [0.4, 0.45]: 51108 / 63051
[25, 26]; [0.45, 0.5]: 50535 / 61845
[25, 26]; [0.5, 0.55]: 41375 / 49997
[25, 26]; [0.55, 0.6]: 21236 / 25628
[25, 26]; [0.6, 0.65]: 3356 / 3947
[25, 26]; [0.65, 0.7]: 0 / 0
[25, 26]; [0.7, 0.75]: 0 / 0
[25, 26]; [0.75, 0.8]: 0 / 0
[25, 26]; [0.8, 0.85]: 0 / 0
[25, 26]; [0.85, 0.9]: 0 / 0
[25, 26]; [0.9, 0.95]: 0 / 0
[25, 26]; [0.95, 1]: 0 / 0

[26, 27]; [-1, -0.95]: 0 / 0
[26, 27]; [-0.95, -0.9]: 0 / 0
[26, 27]; [-0.9, -0.85]: 0 / 0
[26, 27]; [-0.85, -0.8]: 0 / 0
[26, 27]; [-0.8, -0.75]: 0 / 0
[26, 27]; [-0.75, -0.7]: 0 / 0
[26, 27]; [-0.7, -0.65]: 4 / 15
[26, 27]; [-0.65, -0.6]: 5608 / 6933
[26, 27]; [-0.6, -0.55]: 24134 / 29867
[26, 27]; [-0.55, -0.5]: 38259 / 47288
[26, 27]; [-0.5, -0.45]: 42830 / 53286
[26, 27]; [-0.45, -0.4]: 42054 / 53615
[26, 27]; [-0.4, -0.35]: 41700 / 54230
[26, 27]; [-0.35, -0.3]: 41395 / 53811
[26, 27]; [-0.3, -0.25]: 41208 / 53777
[26, 27]; [-0.25, -0.2]: 41275 / 54073
[26, 27]; [-0.2, -0.15]: 40483 / 54799
[26, 27]; [-0.15, -0.1]: 40865 / 54278
[26, 27]; [-0.1, -0.05]: 40626 / 54180
[26, 27]; [-0.05, 0]: 40505 / 54269
[26, 27]; [0, 0.05]: 40884 / 54354
[26, 27]; [0.05, 0.1]: 41210 / 54484
[26, 27]; [0.1, 0.15]: 40874 / 54363
[26, 27]; [0.15, 0.2]: 41357 / 54473
[26, 27]; [0.2, 0.25]: 40691 / 54288
[26, 27]; [0.25, 0.3]: 41443 / 54134
[26, 27]; [0.3, 0.35]: 41294 / 54083
[26, 27]; [0.35, 0.4]: 41588 / 53350
[26, 27]; [0.4, 0.45]: 42034 / 53273
[26, 27]; [0.45, 0.5]: 42491 / 53206
[26, 27]; [0.5, 0.55]: 38535 / 47087
[26, 27]; [0.55, 0.6]: 24195 / 30167
[26, 27]; [0.6, 0.65]: 5587 / 7045
[26, 27]; [0.65, 0.7]: 9 / 14
[26, 27]; [0.7, 0.75]: 0 / 0
[26, 27]; [0.75, 0.8]: 0 / 0
[26, 27]; [0.8, 0.85]: 0 / 0
[26, 27]; [0.85, 0.9]: 0 / 0
[26, 27]; [0.9, 0.95]: 0 / 0
[26, 27]; [0.95, 1]: 0 / 0

[27, 28]; [-1, -0.95]: 0 / 0
[27, 28]; [-0.95, -0.9]: 0 / 0
[27, 28]; [-0.9, -0.85]: 0 / 0
[27, 28]; [-0.85, -0.8]: 0 / 0
[27, 28]; [-0.8, -0.75]: 0 / 0
[27, 28]; [-0.75, -0.7]: 0 / 0
[27, 28]; [-0.7, -0.65]: 191 / 280
[27, 28]; [-0.65, -0.6]: 7932 / 10015
[27, 28]; [-0.6, -0.55]: 24689 / 31277
[27, 28]; [-0.55, -0.5]: 33561 / 42724
[27, 28]; [-0.5, -0.45]: 34730 / 44988
[27, 28]; [-0.45, -0.4]: 34349 / 45432
[27, 28]; [-0.4, -0.35]: 34304 / 45216
[27, 28]; [-0.35, -0.3]: 33814 / 45665
[27, 28]; [-0.3, -0.25]: 33688 / 45693
[27, 28]; [-0.25, -0.2]: 33639 / 45866
[27, 28]; [-0.2, -0.15]: 33432 / 46334
[27, 28]; [-0.15, -0.1]: 33553 / 45949
[27, 28]; [-0.1, -0.05]: 33343 / 46327
[27, 28]; [-0.05, 0]: 33580 / 45895
[27, 28]; [0, 0.05]: 33518 / 46065
[27, 28]; [0.05, 0.1]: 33568 / 46374
[27, 28]; [0.1, 0.15]: 33370 / 46058
[27, 28]; [0.15, 0.2]: 33423 / 45987
[27, 28]; [0.2, 0.25]: 33770 / 45641
[27, 28]; [0.25, 0.3]: 33595 / 45448
[27, 28]; [0.3, 0.35]: 33996 / 45102
[27, 28]; [0.35, 0.4]: 34298 / 45263
[27, 28]; [0.4, 0.45]: 34605 / 45177
[27, 28]; [0.45, 0.5]: 35092 / 44995
[27, 28]; [0.5, 0.55]: 33882 / 42863
[27, 28]; [0.55, 0.6]: 24896 / 31502
[27, 28]; [0.6, 0.65]: 8032 / 10098
[27, 28]; [0.65, 0.7]: 204 / 276
[27, 28]; [0.7, 0.75]: 0 / 0
[27, 28]; [0.75, 0.8]: 0 / 0
[27, 28]; [0.8, 0.85]: 0 / 0
[27, 28]; [0.85, 0.9]: 0 / 0
[27, 28]; [0.9, 0.95]: 0 / 0
[27, 28]; [0.95, 1]: 0 / 0

[28, 29]; [-1, -0.95]: 0 / 0
[28, 29]; [-0.95, -0.9]: 0 / 0
[28, 29]; [-0.9, -0.85]: 0 / 0
[28, 29]; [-0.85, -0.8]: 0 / 0
[28, 29]; [-0.8, -0.75]: 0 / 0
[28, 29]; [-0.75, -0.7]: 0 / 0
[28, 29]; [-0.7, -0.65]: 769 / 1001
[28, 29]; [-0.65, -0.6]: 10433 / 13233
[28, 29]; [-0.6, -0.55]: 23680 / 30350
[28, 29]; [-0.55, -0.5]: 28561 / 37685
[28, 29]; [-0.5, -0.45]: 28723 / 38298
[28, 29]; [-0.45, -0.4]: 28276 / 38255
[28, 29]; [-0.4, -0.35]: 28330 / 38263
[28, 29]; [-0.35, -0.3]: 27911 / 38412
[28, 29]; [-0.3, -0.25]: 27574 / 38652
[28, 29]; [-0.25, -0.2]: 27712 / 38707
[28, 29]; [-0.2, -0.15]: 27922 / 38814
[28, 29]; [-0.15, -0.1]: 27565 / 39018
[28, 29]; [-0.1, -0.05]: 27617 / 39024
[28, 29]; [-0.05, 0]: 27658 / 39253
[28, 29]; [0, 0.05]: 27487 / 38941
[28, 29]; [0.05, 0.1]: 27949 / 39427
[28, 29]; [0.1, 0.15]: 27514 / 39359
[28, 29]; [0.15, 0.2]: 27611 / 39082
[28, 29]; [0.2, 0.25]: 27612 / 38865
[28, 29]; [0.25, 0.3]: 28066 / 39072
[28, 29]; [0.3, 0.35]: 28190 / 38043
[28, 29]; [0.35, 0.4]: 28247 / 38253
[28, 29]; [0.4, 0.45]: 28465 / 38276
[28, 29]; [0.45, 0.5]: 28654 / 38355
[28, 29]; [0.5, 0.55]: 28972 / 37707
[28, 29]; [0.55, 0.6]: 23665 / 30881
[28, 29]; [0.6, 0.65]: 10144 / 13437
[28, 29]; [0.65, 0.7]: 735 / 958
[28, 29]; [0.7, 0.75]: 0 / 0
[28, 29]; [0.75, 0.8]: 0 / 0
[28, 29]; [0.8, 0.85]: 0 / 0
[28, 29]; [0.85, 0.9]: 0 / 0
[28, 29]; [0.9, 0.95]: 0 / 0
[28, 29]; [0.95, 1]: 0 / 0

[29, 30]; [-1, -0.95]: 0 / 0
[29, 30]; [-0.95, -0.9]: 0 / 0
[29, 30]; [-0.9, -0.85]: 0 / 0
[29, 30]; [-0.85, -0.8]: 0 / 0
[29, 30]; [-0.8, -0.75]: 0 / 0
[29, 30]; [-0.75, -0.7]: 0 / 0
[29, 30]; [-0.7, -0.65]: 1466 / 2001
[29, 30]; [-0.65, -0.6]: 11903 / 15362
[29, 30]; [-0.6, -0.55]: 21583 / 28841
[29, 30]; [-0.55, -0.5]: 24304 / 32266
[29, 30]; [-0.5, -0.45]: 24006 / 32432
[29, 30]; [-0.45, -0.4]: 23636 / 32262
[29, 30]; [-0.4, -0.35]: 23194 / 32682
[29, 30]; [-0.35, -0.3]: 23224 / 33060
[29, 30]; [-0.3, -0.25]: 23097 / 33031
[29, 30]; [-0.25, -0.2]: 22915 / 33106
[29, 30]; [-0.2, -0.15]: 23082 / 33151
[29, 30]; [-0.15, -0.1]: 22774 / 33291
[29, 30]; [-0.1, -0.05]: 22884 / 32924
[29, 30]; [-0.05, 0]: 22882 / 33523
[29, 30]; [0, 0.05]: 23021 / 33357
[29, 30]; [0.05, 0.1]: 22948 / 32928
[29, 30]; [0.1, 0.15]: 22883 / 33163
[29, 30]; [0.15, 0.2]: 22919 / 33010
[29, 30]; [0.2, 0.25]: 23405 / 33045
[29, 30]; [0.25, 0.3]: 23110 / 32920
[29, 30]; [0.3, 0.35]: 23012 / 32808
[29, 30]; [0.35, 0.4]: 23319 / 32683
[29, 30]; [0.4, 0.45]: 23603 / 32377
[29, 30]; [0.45, 0.5]: 24264 / 32810
[29, 30]; [0.5, 0.55]: 24025 / 32626
[29, 30]; [0.55, 0.6]: 22017 / 29083
[29, 30]; [0.6, 0.65]: 11975 / 15530
[29, 30]; [0.65, 0.7]: 1505 / 2040
[29, 30]; [0.7, 0.75]: 0 / 0
[29, 30]; [0.75, 0.8]: 0 / 0
[29, 30]; [0.8, 0.85]: 0 / 0
[29, 30]; [0.85, 0.9]: 0 / 0
[29, 30]; [0.9, 0.95]: 0 / 0
[29, 30]; [0.95, 1]: 0 / 0

[30, 31]; [-1, -0.95]: 0 / 0
[30, 31]; [-0.95, -0.9]: 0 / 0
[30, 31]; [-0.9, -0.85]: 0 / 0
[30, 31]; [-0.85, -0.8]: 0 / 0
[30, 31]; [-0.8, -0.75]: 0 / 0
[30, 31]; [-0.75, -0.7]: 0 / 0
[30, 31]; [-0.7, -0.65]: 2502 / 3135
[30, 31]; [-0.65, -0.6]: 12671 / 17111
[30, 31]; [-0.6, -0.55]: 19416 / 26213
[30, 31]; [-0.55, -0.5]: 20292 / 27879
[30, 31]; [-0.5, -0.45]: 20184 / 28007
[30, 31]; [-0.45, -0.4]: 19836 / 27931
[30, 31]; [-0.4, -0.35]: 19456 / 27761
[30, 31]; [-0.35, -0.3]: 19512 / 27973
[30, 31]; [-0.3, -0.25]: 19249 / 28218
[30, 31]; [-0.25, -0.2]: 19294 / 28167
[30, 31]; [-0.2, -0.15]: 19297 / 28502
[30, 31]; [-0.15, -0.1]: 18979 / 28388
[30, 31]; [-0.1, -0.05]: 19113 / 28390
[30, 31]; [-0.05, 0]: 19347 / 28281
[30, 31]; [0, 0.05]: 18926 / 28366
[30, 31]; [0.05, 0.1]: 18933 / 28585
[30, 31]; [0.1, 0.15]: 19239 / 28600
[30, 31]; [0.15, 0.2]: 19203 / 28360
[30, 31]; [0.2, 0.25]: 19317 / 28214
[30, 31]; [0.25, 0.3]: 19699 / 28247
[30, 31]; [0.3, 0.35]: 19602 / 27885
[30, 31]; [0.35, 0.4]: 19626 / 27992
[30, 31]; [0.4, 0.45]: 19637 / 27799
[30, 31]; [0.45, 0.5]: 19961 / 27783
[30, 31]; [0.5, 0.55]: 20216 / 28092
[30, 31]; [0.55, 0.6]: 19622 / 26505
[30, 31]; [0.6, 0.65]: 12818 / 17360
[30, 31]; [0.65, 0.7]: 2402 / 3300
[30, 31]; [0.7, 0.75]: 0 / 0
[30, 31]; [0.75, 0.8]: 0 / 0
[30, 31]; [0.8, 0.85]: 0 / 0
[30, 31]; [0.85, 0.9]: 0 / 0
[30, 31]; [0.9, 0.95]: 0 / 0
[30, 31]; [0.95, 1]: 0 / 0

[31, 32]; [-1, -0.95]: 0 / 0
[31, 32]; [-0.95, -0.9]: 0 / 0
[31, 32]; [-0.9, -0.85]: 0 / 0
[31, 32]; [-0.85, -0.8]: 0 / 0
[31, 32]; [-0.8, -0.75]: 0 / 0
[31, 32]; [-0.75, -0.7]: 7 / 12
[31, 32]; [-0.7, -0.65]: 3363 / 4712
[31, 32]; [-0.65, -0.6]: 12810 / 17739
[31, 32]; [-0.6, -0.55]: 16930 / 23444
[31, 32]; [-0.55, -0.5]: 16962 / 23595
[31, 32]; [-0.5, -0.45]: 16759 / 23941
[31, 32]; [-0.45, -0.4]: 16421 / 23815
[31, 32]; [-0.4, -0.35]: 16415 / 24041
[31, 32]; [-0.35, -0.3]: 16367 / 24149
[31, 32]; [-0.3, -0.25]: 16137 / 24387
[31, 32]; [-0.25, -0.2]: 16036 / 24601
[31, 32]; [-0.2, -0.15]: 16197 / 24439
[31, 32]; [-0.15, -0.1]: 15984 / 24321
[31, 32]; [-0.1, -0.05]: 16039 / 24477
[31, 32]; [-0.05, 0]: 15922 / 24539
[31, 32]; [0, 0.05]: 16057 / 24290
[31, 32]; [0.05, 0.1]: 16069 / 24306
[31, 32]; [0.1, 0.15]: 16138 / 24369
[31, 32]; [0.15, 0.2]: 16180 / 24579
[31, 32]; [0.2, 0.25]: 15997 / 24238
[31, 32]; [0.25, 0.3]: 16441 / 24397
[31, 32]; [0.3, 0.35]: 16403 / 24184
[31, 32]; [0.35, 0.4]: 16234 / 24339
[31, 32]; [0.4, 0.45]: 16549 / 23833
[31, 32]; [0.45, 0.5]: 16772 / 23903
[31, 32]; [0.5, 0.55]: 17056 / 23756
[31, 32]; [0.55, 0.6]: 17058 / 23307
[31, 32]; [0.6, 0.65]: 12972 / 17584
[31, 32]; [0.65, 0.7]: 3519 / 4774
[31, 32]; [0.7, 0.75]: 14 / 10
[31, 32]; [0.75, 0.8]: 0 / 0
[31, 32]; [0.8, 0.85]: 0 / 0
[31, 32]; [0.85, 0.9]: 0 / 0
[31, 32]; [0.9, 0.95]: 0 / 0
[31, 32]; [0.95, 1]: 0 / 0

[32, 33]; [-1, -0.95]: 0 / 0
[32, 33]; [-0.95, -0.9]: 0 / 0
[32, 33]; [-0.9, -0.85]: 0 / 0
[32, 33]; [-0.85, -0.8]: 0 / 0
[32, 33]; [-0.8, -0.75]: 0 / 0
[32, 33]; [-0.75, -0.7]: 110 / 106
[32, 33]; [-0.7, -0.65]: 4583 / 6249
[32, 33]; [-0.65, -0.6]: 12226 / 16742
[32, 33]; [-0.6, -0.55]: 14476 / 20396
[32, 33]; [-0.55, -0.5]: 14434 / 20436
[32, 33]; [-0.5, -0.45]: 14021 / 20395
[32, 33]; [-0.45, -0.4]: 14277 / 20544
[32, 33]; [-0.4, -0.35]: 13914 / 20670
[32, 33]; [-0.35, -0.3]: 13881 / 21005
[32, 33]; [-0.3, -0.25]: 13777 / 20854
[32, 33]; [-0.25, -0.2]: 13540 / 20899
[32, 33]; [-0.2, -0.15]: 13687 / 21095
[32, 33]; [-0.15, -0.1]: 13754 / 20957
[32, 33]; [-0.1, -0.05]: 13549 / 20854
[32, 33]; [-0.05, 0]: 13634 / 21005
[32, 33]; [0, 0.05]: 13344 / 20924
[32, 33]; [0.05, 0.1]: 13312 / 21153
[32, 33]; [0.1, 0.15]: 13446 / 21092
[32, 33]; [0.15, 0.2]: 13701 / 21002
[32, 33]; [0.2, 0.25]: 13736 / 21127
[32, 33]; [0.25, 0.3]: 13939 / 20813
[32, 33]; [0.3, 0.35]: 13845 / 20886
[32, 33]; [0.35, 0.4]: 13890 / 20640
[32, 33]; [0.4, 0.45]: 13959 / 20510
[32, 33]; [0.45, 0.5]: 14260 / 20544
[32, 33]; [0.5, 0.55]: 14413 / 20493
[32, 33]; [0.55, 0.6]: 14617 / 20499
[32, 33]; [0.6, 0.65]: 12304 / 16961
[32, 33]; [0.65, 0.7]: 4454 / 6395
[32, 33]; [0.7, 0.75]: 97 / 128
[32, 33]; [0.75, 0.8]: 0 / 0
[32, 33]; [0.8, 0.85]: 0 / 0
[32, 33]; [0.85, 0.9]: 0 / 0
[32, 33]; [0.9, 0.95]: 0 / 0
[32, 33]; [0.95, 1]: 0 / 0

[33, 34]; [-1, -0.95]: 0 / 0
[33, 34]; [-0.95, -0.9]: 0 / 0
[33, 34]; [-0.9, -0.85]: 0 / 0
[33, 34]; [-0.85, -0.8]: 0 / 0
[33, 34]; [-0.8, -0.75]: 0 / 0
[33, 34]; [-0.75, -0.7]: 243 / 378
[33, 34]; [-0.7, -0.65]: 5325 / 7293
[33, 34]; [-0.65, -0.6]: 11387 / 15868
[33, 34]; [-0.6, -0.55]: 12337 / 17601
[33, 34]; [-0.55, -0.5]: 12219 / 17854
[33, 34]; [-0.5, -0.45]: 12036 / 17716
[33, 34]; [-0.45, -0.4]: 11942 / 18140
[33, 34]; [-0.4, -0.35]: 11915 / 18113
[33, 34]; [-0.35, -0.3]: 11696 / 18049
[33, 34]; [-0.3, -0.25]: 11506 / 17948
[33, 34]; [-0.25, -0.2]: 11597 / 18360
[33, 34]; [-0.2, -0.15]: 11560 / 18331
[33, 34]; [-0.15, -0.1]: 11527 / 18115
[33, 34]; [-0.1, -0.05]: 11542 / 18175
[33, 34]; [-0.05, 0]: 11651 / 18011
[33, 34]; [0, 0.05]: 11538 / 18227
[33, 34]; [0.05, 0.1]: 11451 / 18017
[33, 34]; [0.1, 0.15]: 11529 / 18232
[33, 34]; [0.15, 0.2]: 11603 / 18140
[33, 34]; [0.2, 0.25]: 11655 / 18168
[33, 34]; [0.25, 0.3]: 11651 / 18316
[33, 34]; [0.3, 0.35]: 11752 / 18172
