[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[46, 48]; [-1, -0.95]: 0 / 0
[46, 48]; [-0.95, -0.9]: 0 / 0
[46, 48]; [-0.9, -0.85]: 0 / 0
[46, 48]; [-0.85, -0.8]: 0 / 0
[46, 48]; [-0.8, -0.75]: 1244 / 5040
[46, 48]; [-0.75, -0.7]: 3937 / 15553
[46, 48]; [-0.7, -0.65]: 4024 / 16282
[46, 48]; [-0.65, -0.6]: 3818 / 16162
[46, 48]; [-0.6, -0.55]: 3750 / 15940
[46, 48]; [-0.55, -0.5]: 3753 / 15839
[46, 48]; [-0.5, -0.45]: 3754 / 15696
[46, 48]; [-0.45, -0.4]: 3741 / 15601
[46, 48]; [-0.4, -0.35]: 3631 / 15446
[46, 48]; [-0.35, -0.3]: 3515 / 15121
[46, 48]; [-0.3, -0.25]: 3539 / 15179
[46, 48]; [-0.25, -0.2]: 3565 / 15038
[46, 48]; [-0.2, -0.15]: 3563 / 15153
[46, 48]; [-0.15, -0.1]: 3319 / 14749
[46, 48]; [-0.1, -0.05]: 3426 / 14977
[46, 48]; [-0.05, 0]: 3485 / 14982
[46, 48]; [0, 0.05]: 3274 / 15173
[46, 48]; [0.05, 0.1]: 3474 / 14855
[46, 48]; [0.1, 0.15]: 3475 / 14887
[46, 48]; [0.15, 0.2]: 3561 / 15046
[46, 48]; [0.2, 0.25]: 3535 / 15148
[46, 48]; [0.25, 0.3]: 3526 / 15111
[46, 48]; [0.3, 0.35]: 3553 / 15293
[46, 48]; [0.35, 0.4]: 3735 / 15565
[46, 48]; [0.4, 0.45]: 3618 / 15480
[46, 48]; [0.45, 0.5]: 3623 / 15814
[46, 48]; [0.5, 0.55]: 3831 / 15933
[46, 48]; [0.55, 0.6]: 3926 / 16035
[46, 48]; [0.6, 0.65]: 3875 / 16138
[46, 48]; [0.65, 0.7]: 4038 / 16929
[46, 48]; [0.7, 0.75]: 3858 / 15733
[46, 48]; [0.75, 0.8]: 1276 / 5331
[46, 48]; [0.8, 0.85]: 0 / 0
[46, 48]; [0.85, 0.9]: 0 / 0
[46, 48]; [0.9, 0.95]: 0 / 0
[46, 48]; [0.95, 1]: 0 / 0

[48, 50]; [-1, -0.95]: 0 / 0
[48, 50]; [-0.95, -0.9]: 0 / 0
[48, 50]; [-0.9, -0.85]: 0 / 0
[48, 50]; [-0.85, -0.8]: 3 / 19
[48, 50]; [-0.8, -0.75]: 1563 / 6289
[48, 50]; [-0.75, -0.7]: 3266 / 13810
[48, 50]; [-0.7, -0.65]: 3273 / 13677
[48, 50]; [-0.65, -0.6]: 3114 / 13363
[48, 50]; [-0.6, -0.55]: 2991 / 13339
[48, 50]; [-0.55, -0.5]: 2960 / 13145
[48, 50]; [-0.5, -0.45]: 2955 / 12958
[48, 50]; [-0.45, -0.4]: 2883 / 12788
[48, 50]; [-0.4, -0.35]: 2789 / 12824
[48, 50]; [-0.35, -0.3]: 2794 / 12614
[48, 50]; [-0.3, -0.25]: 2701 / 12696
[48, 50]; [-0.25, -0.2]: 2731 / 12399
[48, 50]; [-0.2, -0.15]: 2699 / 12513
[48, 50]; [-0.15, -0.1]: 2725 / 12203
[48, 50]; [-0.1, -0.05]: 2762 / 12257
[48, 50]; [-0.05, 0]: 2670 / 12328
[48, 50]; [0, 0.05]: 2786 / 12276
[48, 50]; [0.05, 0.1]: 2783 / 12452
[48, 50]; [0.1, 0.15]: 2784 / 12312
[48, 50]; [0.15, 0.2]: 2726 / 12545
[48, 50]; [0.2, 0.25]: 2792 / 12500
[48, 50]; [0.25, 0.3]: 2782 / 12716
[48, 50]; [0.3, 0.35]: 2827 / 12497
[48, 50]; [0.35, 0.4]: 2886 / 12818
[48, 50]; [0.4, 0.45]: 2925 / 13010
[48, 50]; [0.45, 0.5]: 2938 / 12984
[48, 50]; [0.5, 0.55]: 2935 / 13082
[48, 50]; [0.55, 0.6]: 3164 / 13209
