[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[3.87472, 4.19761]; [-0.9, -0.85]: 0 / 0
[3.87472, 4.19761]; [-0.85, -0.8]: 0 / 0
[3.87472, 4.19761]; [-0.8, -0.75]: 0 / 0
[3.87472, 4.19761]; [-0.75, -0.7]: 0 / 0
[3.87472, 4.19761]; [-0.7, -0.65]: 0 / 0
[3.87472, 4.19761]; [-0.65, -0.6]: 0 / 0
[3.87472, 4.19761]; [-0.6, -0.55]: 0 / 0
[3.87472, 4.19761]; [-0.55, -0.5]: 0 / 0
[3.87472, 4.19761]; [-0.5, -0.45]: 0 / 0
[3.87472, 4.19761]; [-0.45, -0.4]: 0 / 0
[3.87472, 4.19761]; [-0.4, -0.35]: 0 / 0
[3.87472, 4.19761]; [-0.35, -0.3]: 266 / 18
[3.87472, 4.19761]; [-0.3, -0.25]: 11361 / 777
[3.87472, 4.19761]; [-0.25, -0.2]: 45107 / 3095
[3.87472, 4.19761]; [-0.2, -0.15]: 95607 / 6737
[3.87472, 4.19761]; [-0.15, -0.1]: 167089 / 11683
[3.87472, 4.19761]; [-0.1, -0.05]: 222260 / 15654
[3.87472, 4.19761]; [-0.05, 0]: 245262 / 17160
[3.87472, 4.19761]; [0, 0.05]: 244306 / 17328
[3.87472, 4.19761]; [0.05, 0.1]: 221799 / 15736
[3.87472, 4.19761]; [0.1, 0.15]: 166578 / 11794
[3.87472, 4.19761]; [0.15, 0.2]: 95625 / 6643
[3.87472, 4.19761]; [0.2, 0.25]: 45663 / 3240
[3.87472, 4.19761]; [0.25, 0.3]: 11377 / 831
[3.87472, 4.19761]; [0.3, 0.35]: 297 / 16
[3.87472, 4.19761]; [0.35, 0.4]: 0 / 0
[3.87472, 4.19761]; [0.4, 0.45]: 0 / 0
[3.87472, 4.19761]; [0.45, 0.5]: 0 / 0
[3.87472, 4.19761]; [0.5, 0.55]: 0 / 0
[3.87472, 4.19761]; [0.55, 0.6]: 0 / 0
[3.87472, 4.19761]; [0.6, 0.65]: 0 / 0
[3.87472, 4.19761]; [0.65, 0.7]: 0 / 0
[3.87472, 4.19761]; [0.7, 0.75]: 0 / 0
[3.87472, 4.19761]; [0.75, 0.8]: 0 / 0
[3.87472, 4.19761]; [0.8, 0.85]: 0 / 0
[3.87472, 4.19761]; [0.85, 0.9]: 0 / 0

[4.19761, 4.5205]; [-0.9, -0.85]: 0 / 0
[4.19761, 4.5205]; [-0.85, -0.8]: 0 / 0
[4.19761, 4.5205]; [-0.8, -0.75]: 0 / 0
[4.19761, 4.5205]; [-0.75, -0.7]: 0 / 0
[4.19761, 4.5205]; [-0.7, -0.65]: 0 / 0
[4.19761, 4.5205]; [-0.65, -0.6]: 0 / 0
[4.19761, 4.5205]; [-0.6, -0.55]: 0 / 0
[4.19761, 4.5205]; [-0.55, -0.5]: 0 / 0
[4.19761, 4.5205]; [-0.5, -0.45]: 0 / 0
[4.19761, 4.5205]; [-0.45, -0.4]: 0 / 0
[4.19761, 4.5205]; [-0.4, -0.35]: 116 / 12
[4.19761, 4.5205]; [-0.35, -0.3]: 7962 / 587
[4.19761, 4.5205]; [-0.3, -0.25]: 34105 / 2481
[4.19761, 4.5205]; [-0.25, -0.2]: 74595 / 5221
[4.19761, 4.5205]; [-0.2, -0.15]: 128091 / 9041
[4.19761, 4.5205]; [-0.15, -0.1]: 170455 / 11984
[4.19761, 4.5205]; [-0.1, -0.05]: 198728 / 14104
[4.19761, 4.5205]; [-0.05, 0]: 217003 / 15610
[4.19761, 4.5205]; [0, 0.05]: 215590 / 15633
[4.19761, 4.5205]; [0.05, 0.1]: 198181 / 14085
[4.19761, 4.5205]; [0.1, 0.15]: 169694 / 12033
[4.19761, 4.5205]; [0.15, 0.2]: 129093 / 9141
[4.19761, 4.5205]; [0.2, 0.25]: 73638 / 5260
[4.19761, 4.5205]; [0.25, 0.3]: 34092 / 2439
[4.19761, 4.5205]; [0.3, 0.35]: 8035 / 620
[4.19761, 4.5205]; [0.35, 0.4]: 130 / 11
[4.19761, 4.5205]; [0.4, 0.45]: 0 / 0
[4.19761, 4.5205]; [0.45, 0.5]: 0 / 0
[4.19761, 4.5205]; [0.5, 0.55]: 0 / 0
[4.19761, 4.5205]; [0.55, 0.6]: 0 / 0
[4.19761, 4.5205]; [0.6, 0.65]: 0 / 0
[4.19761, 4.5205]; [0.65, 0.7]: 0 / 0
[4.19761, 4.5205]; [0.7, 0.75]: 0 / 0
[4.19761, 4.5205]; [0.75, 0.8]: 0 / 0
[4.19761, 4.5205]; [0.8, 0.85]: 0 / 0
[4.19761, 4.5205]; [0.85, 0.9]: 0 / 0

[4.5205, 4.8434]; [-0.9, -0.85]: 0 / 0
[4.5205, 4.8434]; [-0.85, -0.8]: 0 / 0
[4.5205, 4.8434]; [-0.8, -0.75]: 0 / 0
[4.5205, 4.8434]; [-0.75, -0.7]: 0 / 0
[4.5205, 4.8434]; [-0.7, -0.65]: 0 / 0
[4.5205, 4.8434]; [-0.65, -0.6]: 0 / 0
[4.5205, 4.8434]; [-0.6, -0.55]: 0 / 0
[4.5205, 4.8434]; [-0.55, -0.5]: 0 / 0
[4.5205, 4.8434]; [-0.5, -0.45]: 0 / 0
[4.5205, 4.8434]; [-0.45, -0.4]: 8 / 1
[4.5205, 4.8434]; [-0.4, -0.35]: 3976 / 279
[4.5205, 4.8434]; [-0.35, -0.3]: 22671 / 1663
[4.5205, 4.8434]; [-0.3, -0.25]: 52848 / 3711
[4.5205, 4.8434]; [-0.25, -0.2]: 93399 / 6595
[4.5205, 4.8434]; [-0.2, -0.15]: 122799 / 9005
[4.5205, 4.8434]; [-0.15, -0.1]: 141588 / 10168
[4.5205, 4.8434]; [-0.1, -0.05]: 155072 / 10992
[4.5205, 4.8434]; [-0.05, 0]: 159408 / 11592
[4.5205, 4.8434]; [0, 0.05]: 159733 / 11624
[4.5205, 4.8434]; [0.05, 0.1]: 154790 / 11190
[4.5205, 4.8434]; [0.1, 0.15]: 141917 / 10048
[4.5205, 4.8434]; [0.15, 0.2]: 121976 / 8738
[4.5205, 4.8434]; [0.2, 0.25]: 92628 / 6746
[4.5205, 4.8434]; [0.25, 0.3]: 52450 / 3715
[4.5205, 4.8434]; [0.3, 0.35]: 22533 / 1632
[4.5205, 4.8434]; [0.35, 0.4]: 4085 / 293
[4.5205, 4.8434]; [0.4, 0.45]: 7 / 1
[4.5205, 4.8434]; [0.45, 0.5]: 0 / 0
[4.5205, 4.8434]; [0.5, 0.55]: 0 / 0
[4.5205, 4.8434]; [0.55, 0.6]: 0 / 0
[4.5205, 4.8434]; [0.6, 0.65]: 0 / 0
[4.5205, 4.8434]; [0.65, 0.7]: 0 / 0
[4.5205, 4.8434]; [0.7, 0.75]: 0 / 0
[4.5205, 4.8434]; [0.75, 0.8]: 0 / 0
[4.5205, 4.8434]; [0.8, 0.85]: 0 / 0
[4.5205, 4.8434]; [0.85, 0.9]: 0 / 0

[4.8434, 5.16629]; [-0.9, -0.85]: 0 / 0
[4.8434, 5.16629]; [-0.85, -0.8]: 0 / 0
[4.8434, 5.16629]; [-0.8, -0.75]: 0 / 0
[4.8434, 5.16629]; [-0.75, -0.7]: 0 / 0
[4.8434, 5.16629]; [-0.7, -0.65]: 0 / 0
[4.8434, 5.16629]; [-0.65, -0.6]: 0 / 0
[4.8434, 5.16629]; [-0.6, -0.55]: 0 / 0
[4.8434, 5.16629]; [-0.55, -0.5]: 0 / 0
[4.8434, 5.16629]; [-0.5, -0.45]: 0 / 0
[4.8434, 5.16629]; [-0.45, -0.4]: 1334 / 81
[4.8434, 5.16629]; [-0.4, -0.35]: 13030 / 932
[4.8434, 5.16629]; [-0.35, -0.3]: 34896 / 2429
[4.8434, 5.16629]; [-0.3, -0.25]: 65250 / 4666
[4.8434, 5.16629]; [-0.25, -0.2]: 87250 / 6260
[4.8434, 5.16629]; [-0.2, -0.15]: 100778 / 7206
[4.8434, 5.16629]; [-0.15, -0.1]: 110117 / 8012
[4.8434, 5.16629]; [-0.1, -0.05]: 112055 / 8047
[4.8434, 5.16629]; [-0.05, 0]: 112975 / 8092
[4.8434, 5.16629]; [0, 0.05]: 112494 / 8056
[4.8434, 5.16629]; [0.05, 0.1]: 112114 / 8091
[4.8434, 5.16629]; [0.1, 0.15]: 110675 / 7979
[4.8434, 5.16629]; [0.15, 0.2]: 101322 / 7223
[4.8434, 5.16629]; [0.2, 0.25]: 86742 / 6191
[4.8434, 5.16629]; [0.25, 0.3]: 64956 / 4630
[4.8434, 5.16629]; [0.3, 0.35]: 34673 / 2517
[4.8434, 5.16629]; [0.35, 0.4]: 13093 / 926
[4.8434, 5.16629]; [0.4, 0.45]: 1325 / 103
[4.8434, 5.16629]; [0.45, 0.5]: 0 / 0
[4.8434, 5.16629]; [0.5, 0.55]: 0 / 0
[4.8434, 5.16629]; [0.55, 0.6]: 0 / 0
[4.8434, 5.16629]; [0.6, 0.65]: 0 / 0
[4.8434, 5.16629]; [0.65, 0.7]: 0 / 0
[4.8434, 5.16629]; [0.7, 0.75]: 0 / 0
[4.8434, 5.16629]; [0.75, 0.8]: 0 / 0
[4.8434, 5.16629]; [0.8, 0.85]: 0 / 0
[4.8434, 5.16629]; [0.85, 0.9]: 0 / 0

[5.16629, 5.48918]; [-0.9, -0.85]: 0 / 0
[5.16629, 5.48918]; [-0.85, -0.8]: 0 / 0
[5.16629, 5.48918]; [-0.8, -0.75]: 0 / 0
[5.16629, 5.48918]; [-0.75, -0.7]: 0 / 0
[5.16629, 5.48918]; [-0.7, -0.65]: 0 / 0
[5.16629, 5.48918]; [-0.65, -0.6]: 0 / 0
[5.16629, 5.48918]; [-0.6, -0.55]: 0 / 0
[5.16629, 5.48918]; [-0.55, -0.5]: 0 / 0
[5.16629, 5.48918]; [-0.5, -0.45]: 139 / 12
[5.16629, 5.48918]; [-0.45, -0.4]: 5971 / 440
[5.16629, 5.48918]; [-0.4, -0.35]: 20404 / 1439
[5.16629, 5.48918]; [-0.35, -0.3]: 43334 / 3082
[5.16629, 5.48918]; [-0.3, -0.25]: 61462 / 4384
[5.16629, 5.48918]; [-0.25, -0.2]: 72255 / 5234
[5.16629, 5.48918]; [-0.2, -0.15]: 79024 / 5681
[5.16629, 5.48918]; [-0.15, -0.1]: 80720 / 5799
[5.16629, 5.48918]; [-0.1, -0.05]: 80199 / 5871
[5.16629, 5.48918]; [-0.05, 0]: 80825 / 5861
[5.16629, 5.48918]; [0, 0.05]: 80228 / 5897
[5.16629, 5.48918]; [0.05, 0.1]: 80763 / 5752
[5.16629, 5.48918]; [0.1, 0.15]: 80667 / 5898
[5.16629, 5.48918]; [0.15, 0.2]: 78646 / 5688
[5.16629, 5.48918]; [0.2, 0.25]: 72775 / 5214
[5.16629, 5.48918]; [0.25, 0.3]: 60841 / 4450
[5.16629, 5.48918]; [0.3, 0.35]: 43190 / 3062
[5.16629, 5.48918]; [0.35, 0.4]: 20765 / 1505
[5.16629, 5.48918]; [0.4, 0.45]: 6117 / 407
[5.16629, 5.48918]; [0.45, 0.5]: 153 / 11
[5.16629, 5.48918]; [0.5, 0.55]: 0 / 0
[5.16629, 5.48918]; [0.55, 0.6]: 0 / 0
[5.16629, 5.48918]; [0.6, 0.65]: 0 / 0
[5.16629, 5.48918]; [0.65, 0.7]: 0 / 0
[5.16629, 5.48918]; [0.7, 0.75]: 0 / 0
[5.16629, 5.48918]; [0.75, 0.8]: 0 / 0
[5.16629, 5.48918]; [0.8, 0.85]: 0 / 0
[5.16629, 5.48918]; [0.85, 0.9]: 0 / 0

[5.48918, 5.81208]; [-0.9, -0.85]: 0 / 0
[5.48918, 5.81208]; [-0.85, -0.8]: 0 / 0
[5.48918, 5.81208]; [-0.8, -0.75]: 0 / 0
[5.48918, 5.81208]; [-0.75, -0.7]: 0 / 0
[5.48918, 5.81208]; [-0.7, -0.65]: 0 / 0
[5.48918, 5.81208]; [-0.65, -0.6]: 0 / 0
[5.48918, 5.81208]; [-0.6, -0.55]: 0 / 0
[5.48918, 5.81208]; [-0.55, -0.5]: 0 / 0
[5.48918, 5.81208]; [-0.5, -0.45]: 1697 / 107
[5.48918, 5.81208]; [-0.45, -0.4]: 10934 / 815
[5.48918, 5.81208]; [-0.4, -0.35]: 27159 / 1903
[5.48918, 5.81208]; [-0.35, -0.3]: 42814 / 3140
[5.48918, 5.81208]; [-0.3, -0.25]: 52055 / 3794
[5.48918, 5.81208]; [-0.25, -0.2]: 57302 / 4192
[5.48918, 5.81208]; [-0.2, -0.15]: 58104 / 4224
[5.48918, 5.81208]; [-0.15, -0.1]: 58308 / 4221
[5.48918, 5.81208]; [-0.1, -0.05]: 58271 / 4154
[5.48918, 5.81208]; [-0.05, 0]: 58694 / 4227
[5.48918, 5.81208]; [0, 0.05]: 58125 / 4223
[5.48918, 5.81208]; [0.05, 0.1]: 58320 / 4289
[5.48918, 5.81208]; [0.1, 0.15]: 58365 / 4289
[5.48918, 5.81208]; [0.15, 0.2]: 58194 / 4332
[5.48918, 5.81208]; [0.2, 0.25]: 56837 / 4136
[5.48918, 5.81208]; [0.25, 0.3]: 51707 / 3768
[5.48918, 5.81208]; [0.3, 0.35]: 42259 / 3070
[5.48918, 5.81208]; [0.35, 0.4]: 27058 / 1926
[5.48918, 5.81208]; [0.4, 0.45]: 10949 / 809
[5.48918, 5.81208]; [0.45, 0.5]: 1745 / 119
[5.48918, 5.81208]; [0.5, 0.55]: 0 / 0
[5.48918, 5.81208]; [0.55, 0.6]: 0 / 0
[5.48918, 5.81208]; [0.6, 0.65]: 0 / 0
[5.48918, 5.81208]; [0.65, 0.7]: 0 / 0
[5.48918, 5.81208]; [0.7, 0.75]: 0 / 0
[5.48918, 5.81208]; [0.75, 0.8]: 0 / 0
[5.48918, 5.81208]; [0.8, 0.85]: 0 / 0
[5.48918, 5.81208]; [0.85, 0.9]: 0 / 0

[5.81208, 6.13497]; [-0.9, -0.85]: 0 / 0
[5.81208, 6.13497]; [-0.85, -0.8]: 0 / 0
[5.81208, 6.13497]; [-0.8, -0.75]: 0 / 0
[5.81208, 6.13497]; [-0.75, -0.7]: 0 / 0
[5.81208, 6.13497]; [-0.7, -0.65]: 0 / 0
[5.81208, 6.13497]; [-0.65, -0.6]: 0 / 0
[5.81208, 6.13497]; [-0.6, -0.55]: 0 / 0
[5.81208, 6.13497]; [-0.55, -0.5]: 162 / 13
[5.81208, 6.13497]; [-0.5, -0.45]: 4579 / 312
[5.81208, 6.13497]; [-0.45, -0.4]: 15153 / 1093
[5.81208, 6.13497]; [-0.4, -0.35]: 28943 / 1977
