pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 27.5	 76425.2	 99.348	 331171	 679.917	 0.762	 0	 9.6e-06	 0	 0.0128922	 2.20857e-05	 0.0238847	 4.19705e-05	 0.360593	 0.000840451	 209.941	 105	 0.172489
27.5	 30	 52163.2	 83.5501	 244175	 596.849	 0.762	 0	 9.6e-06	 0	 0.012451	 2.6105e-05	 0.0232002	 4.75999e-05	 0.358857	 0.000979486	 163.441	 105	 0.183434
30	 32.5	 36187.5	 70.7329	 177870	 516.261	 0.762	 0	 9.6e-06	 0	 0.0120671	 3.05682e-05	 0.0225123	 5.38599e-05	 0.36125	 0.00116978	 143.307	 105	 0.190808
32.5	 35	 25502.7	 60.0865	 131271	 448.013	 0.762	 0	 9.6e-06	 0	 0.0117873	 3.58102e-05	 0.0217941	 6.10992e-05	 0.365071	 0.00139499	 133.255	 105	 0.197975
35	 37.5	 18466.9	 51.9465	 99301	 397.431	 0.762	 0	 9.6e-06	 0	 0.0114221	 4.11153e-05	 0.021352	 6.87463e-05	 0.362755	 0.00160694	 145.551	 105	 0.204827
37.5	 40	 13603.3	 44.9713	 75328.6	 350.83	 0.762	 0	 9.6e-06	 0	 0.0111151	 4.6591e-05	 0.0208638	 7.71541e-05	 0.363756	 0.00187617	 172.766	 105	 0.209653
40	 42.5	 10067.4	 39.0821	 57972.5	 310.842	 0.762	 0	 9.6e-06	 0	 0.0109977	 5.42384e-05	 0.0204838	 8.74015e-05	 0.356737	 0.00206713	 157.489	 105	 0.215848
42.5	 45	 7618.54	 34.4996	 45344.1	 281.268	 0.762	 0	 9.6e-06	 0	 0.010557	 6.06456e-05	 0.020177	 9.73154e-05	 0.357688	 0.00239466	 121.462	 105	 0.22149
45	 47.5	 5826.92	 30.1421	 35115.2	 249.015	 0.762	 0	 9.6e-06	 0	 0.0104207	 6.82108e-05	 0.0200517	 0.000109592	 0.359034	 0.00279035	 100.755	 105	 0.223433
47.5	 50	 4506.4	 26.6268	 27702.2	 224.797	 0.762	 0	 9.6e-06	 0	 0.0101986	 7.64895e-05	 0.0194817	 0.000121076	 0.360854	 0.00324242	 133.238	 105	 0.226657
50	 55	 3156.44	 16.1034	 19864	 135.433	 0.762	 0	 9.6e-06	 0	 0.00995068	 6.39294e-05	 0.0191486	 0.000108981	 0.360552	 0.00264064	 184.811	 105	 0.231132
55	 60	 1978.12	 12.8131	 12925.2	 110.908	 0.762	 0	 9.6e-06	 0	 0.00971507	 7.88641e-05	 0.0187367	 0.000133194	 0.35478	 0.00328711	 96.9749	 105	 0.237757
60	 65	 1308.58	 10.6738	 8569.66	 91.6256	 0.762	 0	 9.6e-06	 0	 0.00934687	 9.44074e-05	 0.0181367	 0.000148013	 0.358026	 0.00406762	 115.163	 105	 0.238198
65	 70	 868.382	 9.06888	 5832.34	 77.8047	 0.762	 0	 9.6e-06	 0	 0.00907779	 0.000120175	 0.0175117	 0.000169814	 0.357932	 0.00498203	 131.095	 105	 0.24251
70	 75	 609.706	 7.49319	 4086.71	 64.1944	 0.762	 0	 9.6e-06	 0	 0.00869773	 0.000131621	 0.0174937	 0.000210142	 0.359198	 0.00602319	 99.1023	 105	 0.242298
75	 80	 424.733	 6.34742	 2903.27	 55.4259	 0.762	 0	 9.6e-06	 0	 0.00868483	 0.000160726	 0.0169618	 0.000239216	 0.348507	 0.00687156	 109.868	 105	 0.245051
80	 90	 259.877	 3.64086	 1823.47	 32.0454	 0.762	 0	 9.6e-06	 0	 0.00827868	 0.000145051	 0.0167039	 0.000210235	 0.34975	 0.00629226	 140.267	 105	 0.249701
90	 100	 139.178	 2.60502	 993.853	 23.0917	 0.762	 0	 9.6e-06	 0	 0.00813019	 0.000182438	 0.0164814	 0.000293807	 0.343926	 0.00845803	 129.532	 105	 0.253181
100	 120	 65.4668	 1.27859	 464.056	 11.6208	 0.762	 0	 9.6e-06	 0	 0.00782238	 0.000188705	 0.016172	 0.000300586	 0.324493	 0.00779002	 105.847	 105	 0.251415
