pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 28	 110551	 110.198	 481680	 754.659	 0.75	 0	 3.83e-05	 0	 0.0126677	 1.69429e-05	 0.0236741	 2.99415e-05	 0.360353	 0.000637592	 295.047	 105	 0.173123
28	 31	 69492.6	 89.1762	 328822	 635.213	 0.75	 0	 3.83e-05	 0	 0.0122063	 2.08609e-05	 0.0226779	 3.50055e-05	 0.360481	 0.000778998	 249.055	 105	 0.184967
31	 34	 45053	 73.2281	 227751	 540.796	 0.75	 0	 3.83e-05	 0	 0.0117322	 2.51437e-05	 0.0219858	 4.07399e-05	 0.360342	 0.00094665	 210.347	 105	 0.194946
34	 37	 30068	 60.7205	 159885	 460.508	 0.75	 0	 3.83e-05	 0	 0.0113892	 3.01677e-05	 0.0213829	 4.77078e-05	 0.360173	 0.00113845	 144.893	 105	 0.202797
37	 40	 20771.2	 51.2197	 114892	 397.171	 0.75	 0	 3.83e-05	 0	 0.0109469	 3.50055e-05	 0.0207982	 5.46591e-05	 0.361858	 0.00136779	 115.143	 105	 0.209263
40	 43	 14578.5	 43.5199	 84496.2	 346.82	 0.75	 0	 3.83e-05	 0	 0.0106836	 4.13228e-05	 0.0201269	 6.27087e-05	 0.358218	 0.00158717	 121.451	 105	 0.216803
43	 46	 10428.6	 37.25	 62120.7	 301.252	 0.75	 0	 3.83e-05	 0	 0.0103801	 4.76929e-05	 0.0198368	 7.20761e-05	 0.359289	 0.00187437	 125.061	 105	 0.2213
46	 51	 6895.41	 23.752	 42574.2	 199.157	 0.75	 0	 3.83e-05	 0	 0.0100591	 4.4631e-05	 0.019266	 6.67641e-05	 0.357421	 0.00179426	 138.426	 105	 0.227694
51	 56	 4295.38	 18.5537	 27107.2	 160.367	 0.75	 0	 3.83e-05	 0	 0.0096421	 5.49097e-05	 0.0187474	 8.308e-05	 0.358596	 0.00226266	 150.629	 105	 0.231421
56	 61	 2695.63	 15.4857	 17638.9	 128.479	 0.75	 0	 3.83e-05	 0	 0.00948142	 6.95666e-05	 0.0181851	 9.87098e-05	 0.356022	 0.00271989	 112.235	 105	 0.237899
61	 66	 1809.06	 13.0414	 11859.7	 109.732	 0.75	 0	 3.83e-05	 0	 0.00893587	 8.24847e-05	 0.0179432	 0.000115367	 0.358263	 0.0034766	 114.203	 105	 0.238061
66	 71	 1194.88	 10.6227	 8147.47	 92.3955	 0.75	 0	 3.83e-05	 0	 0.00884625	 0.000100386	 0.0176104	 0.000141148	 0.349427	 0.00403849	 106.446	 105	 0.244821
71	 76	 830.692	 8.93811	 5635.44	 76.9295	 0.75	 0	 3.83e-05	 0	 0.0086923	 0.000118742	 0.0170143	 0.000168038	 0.354729	 0.00506731	 133.538	 105	 0.243401
76	 84	 524.869	 5.74222	 3640.32	 49.8162	 0.75	 0	 3.83e-05	 0	 0.00845024	 0.000119632	 0.0168773	 0.000166525	 0.35398	 0.00505408	 96.3519	 105	 0.248214
84	 92	 318.766	 4.36063	 2210.67	 39.2428	 0.75	 0	 3.83e-05	 0	 0.00807979	 0.000139758	 0.0165308	 0.000209642	 0.35273	 0.00644719	 113.384	 105	 0.247839
92	 100	 197.84	 3.72541	 1451	 34.1447	 0.75	 0	 3.83e-05	 0	 0.00772043	 0.000189034	 0.0166983	 0.000261364	 0.327159	 0.00713369	 128.401	 105	 0.25781
100	 120	 98.1238	 1.63096	 688.557	 14.2724	 0.75	 0	 3.83e-05	 0	 0.0077959	 0.000167275	 0.0153871	 0.00022129	 0.336311	 0.00682159	 124.632	 105	 0.249532
