pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 27.5	 114785	 128.075	 496831	 1005.72	 0.732487	 0.00670363	 5.25116e-05	 1.36471e-05	 0.0125744	 5.6237e-05	 0.0233027	 0.000164874	 0.360427	 0.000715691	 252.531	 103	 0.172116
27.5	 30	 77702.2	 106.557	 363274	 847.704	 0.716947	 0.00818599	 1.86359e-05	 1.61641e-05	 0.0120586	 6.71927e-05	 0.0221213	 0.000172669	 0.359105	 0.000817311	 236.071	 103	 0.183088
30	 32.5	 53697.1	 90.7605	 265339	 722.867	 0.723334	 0.00882828	 2.28087e-05	 1.9177e-05	 0.0116921	 7.37207e-05	 0.0216878	 0.000187289	 0.360166	 0.000967669	 187.529	 103	 0.19142
32.5	 35	 38001.1	 77.5409	 196274	 635.474	 0.726086	 0.0100156	 3.8418e-05	 2.25576e-05	 0.0113697	 8.38036e-05	 0.0211878	 0.000206922	 0.361128	 0.00114982	 159.585	 103	 0.198216
35	 37.5	 27286.2	 65.9251	 146975	 548.443	 0.744721	 0.0108039	 3.27177e-05	 2.65112e-05	 0.0112573	 8.93273e-05	 0.0210887	 0.000238792	 0.358973	 0.00133217	 102.248	 103	 0.204791
37.5	 40	 20058.8	 56.39	 111239	 481.544	 0.771267	 0.0112144	 2.80981e-05	 3.0152e-05	 0.0110841	 9.3208e-05	 0.0212515	 0.000287459	 0.363004	 0.00158487	 106.007	 103	 0.209791
40	 42.5	 14965.8	 49.0212	 86202	 417.298	 0.768176	 0.013193	 7.75476e-05	 3.50329e-05	 0.0108459	 0.000103733	 0.0205472	 0.000313594	 0.359203	 0.00178954	 113.361	 103	 0.215804
42.5	 45	 11299.6	 44.0808	 67149.9	 378.35	 0.76738	 0.0138727	 1.52007e-05	 3.95517e-05	 0.0105069	 0.000115439	 0.020348	 0.000332246	 0.35729	 0.00201033	 118.116	 103	 0.220899
45	 47.5	 8552.17	 37.8834	 51835.5	 333.034	 0.783973	 0.0170291	 6.56684e-05	 4.54431e-05	 0.0106162	 0.000134498	 0.0202261	 0.000423778	 0.357725	 0.00230156	 108.063	 103	 0.224283
47.5	 50	 6688.89	 34.5142	 41138.5	 296.977	 0.773704	 0.0174506	 4.62201e-05	 5.04115e-05	 0.0101377	 0.00014206	 0.0196767	 0.000407704	 0.360774	 0.002632	 120.272	 103	 0.227188
50	 55	 4694.78	 20.5798	 29427.3	 181.285	 0.791501	 0.0130886	 5.65739e-05	 4.22167e-05	 0.00999739	 0.000110414	 0.0198332	 0.000344144	 0.35912	 0.00227626	 141.823	 103	 0.230493
55	 60	 2939.45	 16.0824	 19191.6	 145.268	 0.789662	 0.0168595	 2.84297e-06	 5.2826e-05	 0.0098151	 0.000134154	 0.019102	 0.000406829	 0.354638	 0.00269779	 99.4543	 103	 0.237487
60	 65	 1935.31	 13.2697	 12677.8	 120.334	 0.789536	 0.0188001	 5.30901e-05	 6.40731e-05	 0.0093863	 0.000154736	 0.0188288	 0.000463333	 0.359274	 0.00344226	 121.565	 103	 0.238045
65	 70	 1302.52	 11.0556	 8754.02	 102.066	 0.76244	 0.0220255	 5.05661e-05	 7.61201e-05	 0.00884668	 0.000181023	 0.0179616	 0.000462454	 0.35228	 0.00402652	 133.42	 103	 0.242229
70	 75	 884.173	 9.35031	 6036.83	 87.583	 0.821691	 0.0285933	 0.000116691	 9.20137e-05	 0.00919385	 0.000234559	 0.0187518	 0.000843039	 0.352267	 0.00490166	 137.887	 103	 0.244772
75	 80	 607.477	 7.6169	 4190.63	 70.6299	 0.835497	 0.0318898	 -6.7198e-05	 0.000109982	 0.00926196	 0.000255979	 0.0189003	 0.00101854	 0.349827	 0.00575549	 115.899	 103	 0.247222
80	 90	 383.675	 4.30719	 2657.87	 39.4252	 0.831013	 0.0219775	 0.000173684	 9.47237e-05	 0.00874172	 0.000194883	 0.0185352	 0.000693051	 0.353237	 0.00515244	 114.239	 103	 0.247549
90	 100	 210.537	 3.39763	 1498.5	 31.2064	 0.785402	 0.0316484	 0.000106862	 0.000127987	 0.00806835	 0.000272449	 0.0173857	 0.000762138	 0.337264	 0.00653574	 129.497	 103	 0.252571
100	 120	 98.051	 1.68749	 686.619	 15.1651	 0.758561	 0.0518703	 7.42862e-05	 0.000129036	 0.00785505	 0.000369718	 0.0155394	 0.000902754	 0.336683	 0.00694594	 124.523	 103	 0.249112
