pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 28	 109446	 110.706	 472883	 753.853	 0.854119	 0.00216227	 5.71e-05	 0	 0.0135804	 2.81054e-05	 0.0276654	 0.000104502	 0.362199	 0.000644433	 2133.33	 114	 0.172632
28	 31	 68738.3	 90.9592	 322282	 633.687	 0.862803	 0.00263835	 5.71e-05	 0	 0.0131507	 3.31817e-05	 0.0270206	 0.000133712	 0.362416	 0.000788712	 1435.31	 114	 0.184401
31	 34	 44544	 74.2673	 223387	 514.695	 0.861065	 0.00338113	 5.71e-05	 0	 0.0126508	 4.06954e-05	 0.0260809	 0.000163862	 0.361991	 0.000930156	 1088.58	 114	 0.194492
34	 37	 29710.2	 61.0502	 156763	 451.499	 0.864503	 0.00415201	 5.71e-05	 0	 0.0123189	 4.96268e-05	 0.0255417	 0.000203546	 0.361743	 0.00115069	 774.228	 114	 0.202365
37	 40	 20538.5	 50.175	 112825	 380.985	 0.859587	 0.00495728	 5.71e-05	 0	 0.0118143	 5.59335e-05	 0.0246128	 0.000221854	 0.363218	 0.00136361	 489.609	 114	 0.208937
40	 43	 14386.1	 44.2095	 82767.5	 342.877	 0.874426	 0.00570138	 5.71e-05	 0	 0.011649	 6.71077e-05	 0.0245732	 0.000293582	 0.359612	 0.00159844	 398.036	 114	 0.216425
43	 46	 10288.9	 37.274	 60866	 306.998	 0.873073	 0.00642661	 5.71e-05	 0	 0.0113357	 7.46421e-05	 0.0241897	 0.000329292	 0.360562	 0.00191907	 334.755	 114	 0.220982
46	 51	 6797.6	 23.9827	 41713.8	 196.811	 0.872491	 0.00658396	 5.71e-05	 0	 0.0109975	 7.31824e-05	 0.0234205	 0.00032561	 0.358554	 0.00178239	 413.798	 114	 0.227449
51	 56	 4232.01	 19.2942	 26559	 159.363	 0.878529	 0.0076099	 5.71e-05	 0	 0.0106168	 8.59973e-05	 0.0231317	 0.000397701	 0.359542	 0.00227448	 279.806	 114	 0.231271
56	 61	 2653.49	 15.3855	 17272.3	 128.947	 0.880601	 0.0105414	 5.71e-05	 0	 0.0104443	 0.000113118	 0.0224541	 0.000537242	 0.356957	 0.00280376	 220.907	 114	 0.237762
61	 66	 1793.6	 13.0367	 11728.7	 108.567	 0.817556	 0.0145676	 5.71e-05	 0	 0.00943199	 0.000141834	 0.0196644	 0.000415281	 0.358844	 0.00345795	 185.933	 114	 0.238208
66	 71	 1181.74	 10.6441	 8031.98	 91.1095	 0.837856	 0.0177911	 5.71e-05	 0	 0.00948034	 0.000171825	 0.0199585	 0.00058646	 0.350078	 0.00405987	 156.883	 114	 0.244895
71	 76	 819.119	 8.72706	 5537.72	 75.6675	 0.862516	 0.0191141	 5.71e-05	 0	 0.00948608	 0.000189194	 0.0201103	 0.000729734	 0.355387	 0.00507822	 159.091	 114	 0.243472
76	 84	 517.126	 5.60425	 3574.46	 48.966	 0.865712	 0.0179047	 5.71e-05	 0	 0.00927047	 0.000180428	 0.0201937	 0.000727674	 0.35456	 0.0049787	 118.266	 114	 0.248311
84	 92	 315.416	 4.36858	 2182.2	 37.446	 0.852768	 0.0208098	 5.71e-05	 0	 0.00877624	 0.000206408	 0.0192488	 0.000769254	 0.35307	 0.00635551	 124.948	 114	 0.248094
92	 100	 195.619	 3.70529	 1432.38	 33.4899	 0.820718	 0.030684	 5.71e-05	 0	 0.00825279	 0.000301482	 0.0184873	 0.00091915	 0.327461	 0.00712966	 142.824	 113	 0.258094
100	 120	 97.0958	 1.73454	 680.128	 14.9145	 0.822592	 0.0514269	 5.71e-05	 0	 0.00827	 0.000393535	 0.0169111	 0.00131097	 0.336807	 0.00689181	 140.897	 111	 0.249729
