[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[25, 26]; [-1, -0.95]: 0 / 0
[25, 26]; [-0.95, -0.9]: 0 / 0
[25, 26]; [-0.9, -0.85]: 0 / 0
[25, 26]; [-0.85, -0.8]: 0 / 0
[25, 26]; [-0.8, -0.75]: 0 / 0
[25, 26]; [-0.75, -0.7]: 0 / 0
[25, 26]; [-0.7, -0.65]: 0 / 0
[25, 26]; [-0.65, -0.6]: 3476 / 788
[25, 26]; [-0.6, -0.55]: 21759 / 4739
[25, 26]; [-0.55, -0.5]: 42596 / 9263
[25, 26]; [-0.5, -0.45]: 52218 / 11178
[25, 26]; [-0.45, -0.4]: 53524 / 11578
[25, 26]; [-0.4, -0.35]: 54338 / 11446
[25, 26]; [-0.35, -0.3]: 54056 / 11384
[25, 26]; [-0.3, -0.25]: 53920 / 11300
[25, 26]; [-0.25, -0.2]: 54240 / 11280
[25, 26]; [-0.2, -0.15]: 54380 / 11399
[25, 26]; [-0.15, -0.1]: 55174 / 11537
[25, 26]; [-0.1, -0.05]: 54859 / 11399
[25, 26]; [-0.05, 0]: 55257 / 11437
[25, 26]; [0, 0.05]: 55357 / 11419
[25, 26]; [0.05, 0.1]: 55205 / 11374
[25, 26]; [0.1, 0.15]: 55169 / 11298
[25, 26]; [0.15, 0.2]: 55055 / 11253
[25, 26]; [0.2, 0.25]: 54558 / 11418
[25, 26]; [0.25, 0.3]: 54364 / 11308
[25, 26]; [0.3, 0.35]: 54084 / 11420
[25, 26]; [0.35, 0.4]: 53980 / 11419
[25, 26]; [0.4, 0.45]: 54075 / 11610
[25, 26]; [0.45, 0.5]: 52902 / 11241
[25, 26]; [0.5, 0.55]: 42790 / 9342
[25, 26]; [0.55, 0.6]: 21964 / 4819
[25, 26]; [0.6, 0.65]: 3484 / 755
[25, 26]; [0.65, 0.7]: 0 / 0
[25, 26]; [0.7, 0.75]: 0 / 0
[25, 26]; [0.75, 0.8]: 0 / 0
[25, 26]; [0.8, 0.85]: 0 / 0
[25, 26]; [0.85, 0.9]: 0 / 0
[25, 26]; [0.9, 0.95]: 0 / 0
[25, 26]; [0.95, 1]: 0 / 0

[26, 27]; [-1, -0.95]: 0 / 0
[26, 27]; [-0.95, -0.9]: 0 / 0
[26, 27]; [-0.9, -0.85]: 0 / 0
[26, 27]; [-0.85, -0.8]: 0 / 0
[26, 27]; [-0.8, -0.75]: 0 / 0
[26, 27]; [-0.75, -0.7]: 0 / 0
[26, 27]; [-0.7, -0.65]: 12 / 2
[26, 27]; [-0.65, -0.6]: 6052 / 1287
[26, 27]; [-0.6, -0.55]: 25617 / 5242
[26, 27]; [-0.55, -0.5]: 40265 / 8650
[26, 27]; [-0.5, -0.45]: 45733 / 9694
[26, 27]; [-0.45, -0.4]: 46009 / 9747
[26, 27]; [-0.4, -0.35]: 46408 / 9760
[26, 27]; [-0.35, -0.3]: 46131 / 9563
[26, 27]; [-0.3, -0.25]: 46187 / 9464
[26, 27]; [-0.25, -0.2]: 46478 / 9536
[26, 27]; [-0.2, -0.15]: 47167 / 9706
[26, 27]; [-0.15, -0.1]: 46607 / 9415
[26, 27]; [-0.1, -0.05]: 46509 / 9628
[26, 27]; [-0.05, 0]: 46632 / 9667
[26, 27]; [0, 0.05]: 46846 / 9610
[26, 27]; [0.05, 0.1]: 46878 / 9759
[26, 27]; [0.1, 0.15]: 46682 / 9482
[26, 27]; [0.15, 0.2]: 46811 / 9534
[26, 27]; [0.2, 0.25]: 46671 / 9488
[26, 27]; [0.25, 0.3]: 46552 / 9564
[26, 27]; [0.3, 0.35]: 46501 / 9818
[26, 27]; [0.35, 0.4]: 45765 / 9484
[26, 27]; [0.4, 0.45]: 45678 / 9829
[26, 27]; [0.45, 0.5]: 45725 / 9840
[26, 27]; [0.5, 0.55]: 40257 / 8815
[26, 27]; [0.55, 0.6]: 25908 / 5486
[26, 27]; [0.6, 0.65]: 6139 / 1256
[26, 27]; [0.65, 0.7]: 10 / 5
[26, 27]; [0.7, 0.75]: 0 / 0
[26, 27]; [0.75, 0.8]: 0 / 0
[26, 27]; [0.8, 0.85]: 0 / 0
[26, 27]; [0.85, 0.9]: 0 / 0
[26, 27]; [0.9, 0.95]: 0 / 0
[26, 27]; [0.95, 1]: 0 / 0

[27, 28]; [-1, -0.95]: 0 / 0
[27, 28]; [-0.95, -0.9]: 0 / 0
[27, 28]; [-0.9, -0.85]: 0 / 0
[27, 28]; [-0.85, -0.8]: 0 / 0
[27, 28]; [-0.8, -0.75]: 0 / 0
[27, 28]; [-0.75, -0.7]: 0 / 0
[27, 28]; [-0.7, -0.65]: 242 / 46
[27, 28]; [-0.65, -0.6]: 8717 / 1809
[27, 28]; [-0.6, -0.55]: 26770 / 5528
[27, 28]; [-0.55, -0.5]: 36578 / 7690
[27, 28]; [-0.5, -0.45]: 38554 / 8019
[27, 28]; [-0.45, -0.4]: 38918 / 8131
[27, 28]; [-0.4, -0.35]: 38857 / 8135
[27, 28]; [-0.35, -0.3]: 39174 / 8155
[27, 28]; [-0.3, -0.25]: 39097 / 7902
[27, 28]; [-0.25, -0.2]: 39463 / 7871
[27, 28]; [-0.2, -0.15]: 39720 / 7980
[27, 28]; [-0.15, -0.1]: 39624 / 7954
[27, 28]; [-0.1, -0.05]: 39890 / 8133
[27, 28]; [-0.05, 0]: 39539 / 8019
[27, 28]; [0, 0.05]: 39659 / 7893
[27, 28]; [0.05, 0.1]: 39888 / 8116
[27, 28]; [0.1, 0.15]: 39730 / 8127
[27, 28]; [0.15, 0.2]: 39561 / 7851
[27, 28]; [0.2, 0.25]: 39258 / 7987
[27, 28]; [0.25, 0.3]: 39107 / 8039
[27, 28]; [0.3, 0.35]: 38744 / 8161
[27, 28]; [0.35, 0.4]: 38909 / 8023
[27, 28]; [0.4, 0.45]: 38880 / 8179
[27, 28]; [0.45, 0.5]: 38515 / 8099
[27, 28]; [0.5, 0.55]: 36624 / 7846
[27, 28]; [0.55, 0.6]: 26898 / 5854
[27, 28]; [0.6, 0.65]: 8828 / 1832
[27, 28]; [0.65, 0.7]: 244 / 61
[27, 28]; [0.7, 0.75]: 0 / 0
[27, 28]; [0.75, 0.8]: 0 / 0
[27, 28]; [0.8, 0.85]: 0 / 0
[27, 28]; [0.85, 0.9]: 0 / 0
[27, 28]; [0.9, 0.95]: 0 / 0
[27, 28]; [0.95, 1]: 0 / 0

[28, 29]; [-1, -0.95]: 0 / 0
[28, 29]; [-0.95, -0.9]: 0 / 0
[28, 29]; [-0.9, -0.85]: 0 / 0
[28, 29]; [-0.85, -0.8]: 0 / 0
[28, 29]; [-0.8, -0.75]: 0 / 0
[28, 29]; [-0.75, -0.7]: 0 / 0
[28, 29]; [-0.7, -0.65]: 906 / 185
[28, 29]; [-0.65, -0.6]: 11406 / 2440
[28, 29]; [-0.6, -0.55]: 26017 / 5447
[28, 29]; [-0.55, -0.5]: 32270 / 6608
[28, 29]; [-0.5, -0.45]: 32978 / 6837
[28, 29]; [-0.45, -0.4]: 32811 / 6821
[28, 29]; [-0.4, -0.35]: 32861 / 6698
[28, 29]; [-0.35, -0.3]: 33036 / 6524
[28, 29]; [-0.3, -0.25]: 33270 / 6577
[28, 29]; [-0.25, -0.2]: 33314 / 6624
[28, 29]; [-0.2, -0.15]: 33456 / 6553
[28, 29]; [-0.15, -0.1]: 33691 / 6693
[28, 29]; [-0.1, -0.05]: 33612 / 6713
[28, 29]; [-0.05, 0]: 33787 / 6700
[28, 29]; [0, 0.05]: 33648 / 6719
[28, 29]; [0.05, 0.1]: 33916 / 6581
[28, 29]; [0.1, 0.15]: 33939 / 6744
[28, 29]; [0.15, 0.2]: 33445 / 6722
[28, 29]; [0.2, 0.25]: 33457 / 6680
[28, 29]; [0.25, 0.3]: 33556 / 6751
[28, 29]; [0.3, 0.35]: 32765 / 6640
[28, 29]; [0.35, 0.4]: 32895 / 6786
[28, 29]; [0.4, 0.45]: 32978 / 6854
[28, 29]; [0.45, 0.5]: 32893 / 6910
[28, 29]; [0.5, 0.55]: 32352 / 6803
[28, 29]; [0.55, 0.6]: 26396 / 5411
[28, 29]; [0.6, 0.65]: 11692 / 2361
[28, 29]; [0.65, 0.7]: 846 / 181
[28, 29]; [0.7, 0.75]: 0 / 0
[28, 29]; [0.75, 0.8]: 0 / 0
[28, 29]; [0.8, 0.85]: 0 / 0
[28, 29]; [0.85, 0.9]: 0 / 0
[28, 29]; [0.9, 0.95]: 0 / 0
[28, 29]; [0.95, 1]: 0 / 0

[29, 30]; [-1, -0.95]: 0 / 0
[29, 30]; [-0.95, -0.9]: 0 / 0
[29, 30]; [-0.9, -0.85]: 0 / 0
[29, 30]; [-0.85, -0.8]: 0 / 0
[29, 30]; [-0.8, -0.75]: 0 / 0
[29, 30]; [-0.75, -0.7]: 0 / 0
[29, 30]; [-0.7, -0.65]: 1770 / 381
[29, 30]; [-0.65, -0.6]: 13152 / 2755
[29, 30]; [-0.6, -0.55]: 24635 / 5166
[29, 30]; [-0.55, -0.5]: 27709 / 5751
[29, 30]; [-0.5, -0.45]: 27836 / 5879
[29, 30]; [-0.45, -0.4]: 27761 / 5682
[29, 30]; [-0.4, -0.35]: 28086 / 5658
[29, 30]; [-0.35, -0.3]: 28370 / 5609
[29, 30]; [-0.3, -0.25]: 28473 / 5502
[29, 30]; [-0.25, -0.2]: 28500 / 5620
[29, 30]; [-0.2, -0.15]: 28638 / 5614
[29, 30]; [-0.15, -0.1]: 28667 / 5498
[29, 30]; [-0.1, -0.05]: 28338 / 5615
[29, 30]; [-0.05, 0]: 28801 / 5734
[29, 30]; [0, 0.05]: 28596 / 5516
[29, 30]; [0.05, 0.1]: 28449 / 5651
[29, 30]; [0.1, 0.15]: 28570 / 5756
[29, 30]; [0.15, 0.2]: 28469 / 5589
[29, 30]; [0.2, 0.25]: 28372 / 5578
[29, 30]; [0.25, 0.3]: 28337 / 5657
[29, 30]; [0.3, 0.35]: 28261 / 5611
[29, 30]; [0.35, 0.4]: 28122 / 5662
[29, 30]; [0.4, 0.45]: 27879 / 5598
[29, 30]; [0.45, 0.5]: 28190 / 5789
[29, 30]; [0.5, 0.55]: 27967 / 5869
[29, 30]; [0.55, 0.6]: 24871 / 5210
[29, 30]; [0.6, 0.65]: 13396 / 2736
[29, 30]; [0.65, 0.7]: 1827 / 371
[29, 30]; [0.7, 0.75]: 0 / 0
[29, 30]; [0.75, 0.8]: 0 / 0
[29, 30]; [0.8, 0.85]: 0 / 0
[29, 30]; [0.85, 0.9]: 0 / 0
[29, 30]; [0.9, 0.95]: 0 / 0
[29, 30]; [0.95, 1]: 0 / 0

[30, 31]; [-1, -0.95]: 0 / 0
[30, 31]; [-0.95, -0.9]: 0 / 0
[30, 31]; [-0.9, -0.85]: 0 / 0
[30, 31]; [-0.85, -0.8]: 0 / 0
[30, 31]; [-0.8, -0.75]: 0 / 0
[30, 31]; [-0.75, -0.7]: 0 / 0
[30, 31]; [-0.7, -0.65]: 2732 / 522
[30, 31]; [-0.65, -0.6]: 14691 / 2884
[30, 31]; [-0.6, -0.55]: 22444 / 4642
[30, 31]; [-0.55, -0.5]: 23915 / 4938
[30, 31]; [-0.5, -0.45]: 24049 / 4845
[30, 31]; [-0.45, -0.4]: 24023 / 4815
[30, 31]; [-0.4, -0.35]: 23870 / 4664
[30, 31]; [-0.35, -0.3]: 24033 / 4731
[30, 31]; [-0.3, -0.25]: 24302 / 4724
[30, 31]; [-0.25, -0.2]: 24225 / 4604
[30, 31]; [-0.2, -0.15]: 24564 / 4868
[30, 31]; [-0.15, -0.1]: 24466 / 4695
[30, 31]; [-0.1, -0.05]: 24411 / 4787
[30, 31]; [-0.05, 0]: 24351 / 4632
[30, 31]; [0, 0.05]: 24470 / 4700
[30, 31]; [0.05, 0.1]: 24701 / 4584
[30, 31]; [0.1, 0.15]: 24603 / 4773
[30, 31]; [0.15, 0.2]: 24332 / 4793
[30, 31]; [0.2, 0.25]: 24259 / 4617
[30, 31]; [0.25, 0.3]: 24317 / 4831
[30, 31]; [0.3, 0.35]: 24012 / 4689
[30, 31]; [0.35, 0.4]: 24064 / 4747
[30, 31]; [0.4, 0.45]: 23854 / 4805
[30, 31]; [0.45, 0.5]: 23948 / 4878
[30, 31]; [0.5, 0.55]: 24152 / 4876
[30, 31]; [0.55, 0.6]: 22729 / 4572
[30, 31]; [0.6, 0.65]: 14785 / 3051
[30, 31]; [0.65, 0.7]: 2914 / 598
[30, 31]; [0.7, 0.75]: 0 / 0
[30, 31]; [0.75, 0.8]: 0 / 0
[30, 31]; [0.8, 0.85]: 0 / 0
[30, 31]; [0.85, 0.9]: 0 / 0
[30, 31]; [0.9, 0.95]: 0 / 0
[30, 31]; [0.95, 1]: 0 / 0

[31, 32]; [-1, -0.95]: 0 / 0
[31, 32]; [-0.95, -0.9]: 0 / 0
[31, 32]; [-0.9, -0.85]: 0 / 0
[31, 32]; [-0.85, -0.8]: 0 / 0
[31, 32]; [-0.8, -0.75]: 0 / 0
[31, 32]; [-0.75, -0.7]: 10 / 2
[31, 32]; [-0.7, -0.65]: 4095 / 830
[31, 32]; [-0.65, -0.6]: 15112 / 2911
[31, 32]; [-0.6, -0.55]: 20092 / 4023
[31, 32]; [-0.55, -0.5]: 20214 / 4032
[31, 32]; [-0.5, -0.45]: 20566 / 4032
[31, 32]; [-0.45, -0.4]: 20448 / 4142
[31, 32]; [-0.4, -0.35]: 20692 / 3957
[31, 32]; [-0.35, -0.3]: 20780 / 3885
[31, 32]; [-0.3, -0.25]: 21001 / 4035
[31, 32]; [-0.25, -0.2]: 21189 / 3984
[31, 32]; [-0.2, -0.15]: 20966 / 3965
[31, 32]; [-0.15, -0.1]: 20976 / 4152
[31, 32]; [-0.1, -0.05]: 21075 / 4123
[31, 32]; [-0.05, 0]: 21143 / 3884
[31, 32]; [0, 0.05]: 20862 / 3997
[31, 32]; [0.05, 0.1]: 20974 / 3996
[31, 32]; [0.1, 0.15]: 20939 / 4003
[31, 32]; [0.15, 0.2]: 21091 / 4005
[31, 32]; [0.2, 0.25]: 20940 / 3940
[31, 32]; [0.25, 0.3]: 21100 / 4030
[31, 32]; [0.3, 0.35]: 20847 / 3943
[31, 32]; [0.35, 0.4]: 20953 / 3882
[31, 32]; [0.4, 0.45]: 20503 / 4094
[31, 32]; [0.45, 0.5]: 20581 / 4090
[31, 32]; [0.5, 0.55]: 20422 / 4146
[31, 32]; [0.55, 0.6]: 19987 / 3977
[31, 32]; [0.6, 0.65]: 15044 / 3077
[31, 32]; [0.65, 0.7]: 4154 / 856
[31, 32]; [0.7, 0.75]: 5 / 2
[31, 32]; [0.75, 0.8]: 0 / 0
[31, 32]; [0.8, 0.85]: 0 / 0
[31, 32]; [0.85, 0.9]: 0 / 0
[31, 32]; [0.9, 0.95]: 0 / 0
[31, 32]; [0.95, 1]: 0 / 0

[32, 33]; [-1, -0.95]: 0 / 0
[32, 33]; [-0.95, -0.9]: 0 / 0
[32, 33]; [-0.9, -0.85]: 0 / 0
[32, 33]; [-0.85, -0.8]: 0 / 0
[32, 33]; [-0.8, -0.75]: 0 / 0
[32, 33]; [-0.75, -0.7]: 89 / 22
[32, 33]; [-0.7, -0.65]: 5385 / 998
[32, 33]; [-0.65, -0.6]: 14375 / 2816
[32, 33]; [-0.6, -0.55]: 17524 / 3362
[32, 33]; [-0.55, -0.5]: 17551 / 3340
[32, 33]; [-0.5, -0.45]: 17520 / 3406
[32, 33]; [-0.45, -0.4]: 17615 / 3425
[32, 33]; [-0.4, -0.35]: 17719 / 3378
[32, 33]; [-0.35, -0.3]: 17931 / 3492
[32, 33]; [-0.3, -0.25]: 17908 / 3505
[32, 33]; [-0.25, -0.2]: 18014 / 3321
[32, 33]; [-0.2, -0.15]: 18149 / 3409
[32, 33]; [-0.15, -0.1]: 18006 / 3492
[32, 33]; [-0.1, -0.05]: 17962 / 3316
[32, 33]; [-0.05, 0]: 18160 / 3405
[32, 33]; [0, 0.05]: 17999 / 3299
[32, 33]; [0.05, 0.1]: 18211 / 3445
[32, 33]; [0.1, 0.15]: 18176 / 3410
[32, 33]; [0.15, 0.2]: 18061 / 3273
[32, 33]; [0.2, 0.25]: 18214 / 3326
[32, 33]; [0.25, 0.3]: 17832 / 3367
[32, 33]; [0.3, 0.35]: 18069 / 3366
[32, 33]; [0.35, 0.4]: 17822 / 3435
[32, 33]; [0.4, 0.45]: 17622 / 3410
[32, 33]; [0.45, 0.5]: 17671 / 3448
[32, 33]; [0.5, 0.55]: 17575 / 3401
[32, 33]; [0.55, 0.6]: 17497 / 3529
[32, 33]; [0.6, 0.65]: 14473 / 2885
[32, 33]; [0.65, 0.7]: 5502 / 1055
[32, 33]; [0.7, 0.75]: 111 / 22
[32, 33]; [0.75, 0.8]: 0 / 0
[32, 33]; [0.8, 0.85]: 0 / 0
[32, 33]; [0.85, 0.9]: 0 / 0
[32, 33]; [0.9, 0.95]: 0 / 0
[32, 33]; [0.95, 1]: 0 / 0

[33, 34]; [-1, -0.95]: 0 / 0
[33, 34]; [-0.95, -0.9]: 0 / 0
[33, 34]; [-0.9, -0.85]: 0 / 0
[33, 34]; [-0.85, -0.8]: 0 / 0
[33, 34]; [-0.8, -0.75]: 0 / 0
[33, 34]; [-0.75, -0.7]: 353 / 62
[33, 34]; [-0.7, -0.65]: 6314 / 1188
[33, 34]; [-0.65, -0.6]: 13540 / 2655
[33, 34]; [-0.6, -0.55]: 14998 / 2887
[33, 34]; [-0.55, -0.5]: 15345 / 2900
[33, 34]; [-0.5, -0.45]: 15160 / 2932
[33, 34]; [-0.45, -0.4]: 15544 / 2795
[33, 34]; [-0.4, -0.35]: 15582 / 2884
[33, 34]; [-0.35, -0.3]: 15510 / 2777
[33, 34]; [-0.3, -0.25]: 15362 / 2734
[33, 34]; [-0.25, -0.2]: 15816 / 2838
[33, 34]; [-0.2, -0.15]: 15729 / 2735
[33, 34]; [-0.15, -0.1]: 15609 / 2834
[33, 34]; [-0.1, -0.05]: 15706 / 2927
[33, 34]; [-0.05, 0]: 15490 / 2885
[33, 34]; [0, 0.05]: 15745 / 2847
[33, 34]; [0.05, 0.1]: 15545 / 2839
[33, 34]; [0.1, 0.15]: 15726 / 2822
[33, 34]; [0.15, 0.2]: 15514 / 2815
[33, 34]; [0.2, 0.25]: 15626 / 2889
[33, 34]; [0.25, 0.3]: 15800 / 2864
[33, 34]; [0.3, 0.35]: 15612 / 2795
[33, 34]; [0.35, 0.4]: 15421 / 2906
