pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 27.5	 191323	 169.415	 829617	 1310.9	 0.732683	 0.0053713	 2.66719e-05	 1.07074e-05	 0.0126118	 4.42961e-05	 0.0232348	 0.000130404	 0.360213	 0.000547587	 345.258	 103	 0.172421
27.5	 30	 129971	 143.159	 608151	 1135.65	 0.722191	 0.00638001	 2.45647e-05	 1.28698e-05	 0.0121186	 5.20992e-05	 0.0222462	 0.000137788	 0.358993	 0.000651988	 261.746	 103	 0.18322
30	 32.5	 89956.3	 119.721	 444054	 969.204	 0.725648	 0.00689437	 1.03477e-05	 1.50445e-05	 0.0117418	 5.6702e-05	 0.0217107	 0.000146391	 0.360406	 0.000754123	 209.491	 103	 0.19131
32.5	 35	 63542.8	 102.596	 327790	 821.569	 0.731081	 0.00806536	 3.21508e-05	 1.75369e-05	 0.0114689	 6.54748e-05	 0.0212263	 0.000169224	 0.362733	 0.000899137	 199.014	 103	 0.19811
35	 37.5	 45768.8	 87.9617	 246510	 720.384	 0.746494	 0.00878974	 1.63723e-05	 2.04344e-05	 0.0112843	 7.11e-05	 0.0210741	 0.000194534	 0.360405	 0.00103088	 154.248	 103	 0.204901
37.5	 40	 33643.1	 75.2947	 186484	 633.242	 0.774774	 0.00898861	 1.44688e-05	 2.35951e-05	 0.0111493	 7.47429e-05	 0.0212683	 0.000231983	 0.363306	 0.00120862	 159.068	 103	 0.209791
40	 42.5	 25042.7	 65.2239	 144297	 553.534	 0.760235	 0.0108004	 4.60189e-05	 2.7184e-05	 0.0108657	 8.63441e-05	 0.0204018	 0.000241488	 0.358189	 0.00136265	 135.634	 103	 0.215904
42.5	 45	 18907.9	 58.541	 112395	 501.812	 0.772022	 0.0111874	 1.62708e-05	 3.09539e-05	 0.0105781	 9.34927e-05	 0.0204407	 0.000273794	 0.357596	 0.0015485	 129.729	 103	 0.221106
45	 47.5	 14366	 49.8211	 86685.8	 433.931	 0.788885	 0.0125189	 7.54827e-05	 3.5125e-05	 0.0106415	 0.000101336	 0.0205152	 0.00033057	 0.358754	 0.00177654	 122.605	 103	 0.223585
47.5	 50	 11179.7	 43.9664	 68580	 389.681	 0.786926	 0.0131446	 6.96021e-05	 3.93348e-05	 0.0102988	 0.000108124	 0.0200406	 0.000335783	 0.36142	 0.00205619	 128.463	 103	 0.226582
50	 55	 7832.57	 26.6012	 49137.7	 236.305	 0.806133	 0.0105626	 3.74452e-05	 3.26239e-05	 0.0101688	 8.82517e-05	 0.0202434	 0.000307724	 0.359864	 0.00170507	 174.908	 103	 0.230725
55	 60	 4909.37	 21.2695	 32095	 192.89	 0.797551	 0.0127522	 -2.22672e-05	 4.10911e-05	 0.00990476	 0.00010424	 0.0193791	 0.000326151	 0.354593	 0.0020945	 108.48	 103	 0.237876
60	 65	 3235.19	 17.5899	 21144.9	 158.023	 0.808828	 0.0142282	 6.79749e-05	 4.96737e-05	 0.00958967	 0.000120205	 0.0192978	 0.000396333	 0.359393	 0.00266258	 129.854	 103	 0.23778
65	 70	 2173.42	 14.7112	 14585.1	 134.223	 0.755113	 0.0198864	 6.31726e-05	 5.95615e-05	 0.00888491	 0.000161912	 0.0176753	 0.000385213	 0.355319	 0.00322991	 130.517	 103	 0.242153
70	 75	 1490.63	 12.136	 10113.2	 111.956	 0.825699	 0.0190239	 4.74323e-05	 7.10206e-05	 0.00917808	 0.000162024	 0.0189364	 0.000585239	 0.355309	 0.00384104	 122.367	 103	 0.244179
75	 80	 1029.19	 10.1643	 7083.68	 93.5447	 0.833451	 0.0252064	 -5.96749e-05	 8.43121e-05	 0.00920918	 0.000205356	 0.0187481	 0.00078066	 0.350077	 0.0044652	 106.773	 103	 0.246788
80	 90	 642.69	 5.76249	 4462	 53.0684	 0.819185	 0.0191131	 0.00014912	 7.39394e-05	 0.00867303	 0.000162759	 0.0181341	 0.000539839	 0.353376	 0.00413637	 120.434	 103	 0.248015
90	 100	 348.298	 4.24557	 2480.85	 39.8006	 0.817688	 0.0229542	 7.03703e-05	 9.88815e-05	 0.00838589	 0.000199717	 0.0180396	 0.000662743	 0.341313	 0.005284	 120.768	 103	 0.253145
100	 120	 162.583	 2.10414	 1143.28	 19.0368	 0.817753	 0.0288857	 9.81444e-05	 9.9608e-05	 0.00821573	 0.000229723	 0.0170451	 0.00074517	 0.333138	 0.00525728	 97.5669	 103	 0.250169
