pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 27.5	 191095	 157.907	 827223	 1078.13	 0.754	 0	 2.67e-05	 0	 0.0127776	 1.40883e-05	 0.0237752	 2.55899e-05	 0.360542	 0.00053145	 361.451	 105	 0.172271
27.5	 30	 129722	 132.454	 605715	 941.051	 0.754	 0	 2.67e-05	 0	 0.0123645	 1.67557e-05	 0.0229844	 2.90719e-05	 0.359382	 0.000623412	 288.352	 105	 0.18302
30	 32.5	 89798.9	 112.03	 442226	 816.142	 0.754	 0	 2.67e-05	 0	 0.0119613	 1.95841e-05	 0.0223579	 3.29589e-05	 0.360872	 0.000742492	 227.474	 105	 0.191021
32.5	 35	 63441.9	 95.5327	 327020	 712.361	 0.754	 0	 2.67e-05	 0	 0.0116424	 2.29183e-05	 0.021722	 3.7412e-05	 0.362842	 0.000877877	 207.45	 105	 0.198065
35	 37.5	 45747	 82.0355	 246182	 627.236	 0.754	 0	 2.67e-05	 0	 0.0113418	 2.63918e-05	 0.0212458	 4.24047e-05	 0.360578	 0.00100969	 155.222	 105	 0.204772
37.5	 40	 33695.6	 71.2458	 186816	 554.159	 0.754	 0	 2.67e-05	 0	 0.0109963	 2.99235e-05	 0.0207835	 4.76261e-05	 0.363325	 0.00118588	 164.528	 105	 0.209748
40	 42.5	 25051.8	 62.092	 144524	 493.857	 0.754	 0	 2.67e-05	 0	 0.0108179	 3.45088e-05	 0.0202581	 5.34757e-05	 0.357939	 0.0013228	 136.455	 105	 0.216116
42.5	 45	 18935.9	 54.5925	 112568	 445.449	 0.754	 0	 2.67e-05	 0	 0.0104453	 3.8853e-05	 0.0200399	 5.95949e-05	 0.357637	 0.00154582	 132.454	 105	 0.221054
45	 47.5	 14400.9	 47.4968	 87216	 394.16	 0.754	 0	 2.67e-05	 0	 0.0103836	 4.40504e-05	 0.0196858	 6.78237e-05	 0.358066	 0.00177744	 131.665	 105	 0.224185
47.5	 50	 11207.5	 42.8189	 68968	 357.209	 0.754	 0	 2.67e-05	 0	 0.0100544	 4.88397e-05	 0.019281	 7.76227e-05	 0.360829	 0.00200832	 135.458	 105	 0.227105
50	 55	 7867.77	 25.8097	 49461.2	 215.398	 0.754	 0	 2.67e-05	 0	 0.00978903	 4.08152e-05	 0.0189882	 6.15537e-05	 0.359584	 0.00166591	 197.026	 105	 0.230966
55	 60	 4927.98	 20.3186	 32156.3	 177.056	 0.754	 0	 2.67e-05	 0	 0.00960574	 5.07099e-05	 0.0184639	 7.51779e-05	 0.355096	 0.00208594	 120.375	 105	 0.237396
60	 65	 3250.46	 17.07	 21313.8	 145.357	 0.754	 0	 2.67e-05	 0	 0.00919694	 6.0939e-05	 0.0180349	 8.99595e-05	 0.358873	 0.00258502	 143.324	 105	 0.2383
65	 70	 2173.3	 14.4322	 14613.5	 123.69	 0.754	 0	 2.67e-05	 0	 0.00887218	 7.51823e-05	 0.0176361	 0.000104565	 0.354914	 0.00310834	 130.897	 105	 0.242559
70	 75	 1500.93	 11.9338	 10210.1	 103.467	 0.754	 0	 2.67e-05	 0	 0.00867836	 8.67303e-05	 0.0172463	 0.000127314	 0.354976	 0.00375034	 133.699	 105	 0.244525
75	 80	 1037.5	 9.9149	 7116.37	 86.9077	 0.754	 0	 2.67e-05	 0	 0.00868524	 0.000104482	 0.0169682	 0.000151601	 0.35097	 0.00442008	 115.534	 105	 0.245897
80	 90	 646.57	 5.7037	 4522.77	 50.0357	 0.754	 0	 2.67e-05	 0	 0.0082088	 9.1447e-05	 0.0166323	 0.000132826	 0.352092	 0.00400195	 132.717	 105	 0.249426
90	 100	 350.118	 4.20451	 2501	 37.8186	 0.754	 0	 2.67e-05	 0	 0.00795043	 0.000120014	 0.0165854	 0.000178652	 0.341	 0.00511459	 127.519	 105	 0.253623
100	 120	 163.6	 2.06899	 1155.99	 18.3643	 0.754	 0	 2.67e-05	 0	 0.00779321	 0.000125025	 0.0157032	 0.000177614	 0.332414	 0.00513434	 102.13	 105	 0.251049
