pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 27.5	 191323	 168.547	 829616	 1231.72	 0.732685	 0.0053775	 2.67e-05	 0	 0.0126118	 4.42066e-05	 0.0232349	 0.00013002	 0.360214	 0.000534948	 345.258	 104	 0.172421
27.5	 30	 129972	 143.748	 608086	 1057.14	 0.722249	 0.00652073	 2.67e-05	 0	 0.0121192	 5.34995e-05	 0.0222486	 0.000139312	 0.35902	 0.000624271	 261.774	 104	 0.183201
30	 32.5	 89961.8	 120.414	 443696	 896.506	 0.725978	 0.00693136	 2.67e-05	 0	 0.0117457	 5.72764e-05	 0.0217267	 0.000147248	 0.36061	 0.000741849	 210.671	 104	 0.191158
32.5	 35	 63541.3	 102.338	 327877	 772.176	 0.731001	 0.00805164	 2.67e-05	 0	 0.0114678	 6.54467e-05	 0.0212216	 0.000167523	 0.362665	 0.000864324	 199.11	 104	 0.198162
35	 37.5	 45770.5	 86.6545	 246385	 672.416	 0.746624	 0.00878732	 2.67e-05	 0	 0.0112865	 7.10944e-05	 0.0210827	 0.000193795	 0.360529	 0.0010127	 154.499	 104	 0.204801
37.5	 40	 33644.9	 73.9516	 186373	 587.332	 0.774878	 0.00898705	 2.67e-05	 0	 0.0111515	 7.3479e-05	 0.0212783	 0.000232881	 0.363454	 0.00119695	 159.336	 104	 0.20967
40	 42.5	 25040.6	 65.1006	 144432	 515.662	 0.760099	 0.0107981	 2.67e-05	 0	 0.0108625	 8.57726e-05	 0.0203879	 0.000241285	 0.357964	 0.00131325	 136.139	 104	 0.216099
42.5	 45	 18908.6	 56.8925	 112337	 462.707	 0.772058	 0.010965	 2.67e-05	 0	 0.0105798	 8.9963e-05	 0.0204476	 0.000269132	 0.357715	 0.0015106	 129.843	 104	 0.220999
45	 47.5	 14362.8	 49.5417	 86892.1	 408.193	 0.788741	 0.0125453	 2.67e-05	 0	 0.010634	 0.000101118	 0.0204825	 0.000329542	 0.358196	 0.00173042	 124.521	 104	 0.22409
47.5	 50	 11177.4	 44.5457	 68723.6	 366.381	 0.786873	 0.0132168	 2.67e-05	 0	 0.0102927	 0.000108244	 0.0200144	 0.000336255	 0.360922	 0.00199603	 129.654	 104	 0.227032
50	 55	 7832.13	 26.5352	 49163.2	 222.692	 0.806144	 0.0104349	 2.67e-05	 0	 0.0101675	 8.66966e-05	 0.0202372	 0.000305484	 0.359741	 0.00167899	 175.016	 104	 0.230839
55	 60	 4910.66	 20.9515	 32019.3	 179.481	 0.797323	 0.0126343	 2.67e-05	 0	 0.00990962	 0.000102411	 0.0194022	 0.000325198	 0.355134	 0.00204502	 109.911	 104	 0.237343
60	 65	 3234.5	 17.3533	 21187.7	 146.987	 0.808939	 0.014137	 2.67e-05	 0	 0.0095848	 0.000118899	 0.0192767	 0.000395551	 0.358924	 0.00260641	 130.555	 104	 0.23823
65	 70	 2173.02	 14.7161	 14611.5	 126.594	 0.755208	 0.0200049	 2.67e-05	 0	 0.00888102	 0.000163737	 0.0176582	 0.000385014	 0.354913	 0.00307788	 130.893	 104	 0.242558
70	 75	 1490.55	 11.6817	 10124.2	 105.02	 0.825768	 0.0187587	 2.67e-05	 0	 0.0091749	 0.000158643	 0.0189262	 0.000582137	 0.355075	 0.00370564	 122.453	 104	 0.244412
75	 80	 1029.7	 10.0341	 7053.99	 88.6496	 0.832588	 0.0251185	 2.67e-05	 0	 0.00921488	 0.000203085	 0.0187758	 0.000780927	 0.351012	 0.00440692	 107.824	 104	 0.245814
80	 90	 642.153	 5.61208	 4488.91	 49.9386	 0.820019	 0.0192528	 2.67e-05	 0	 0.00866321	 0.000163337	 0.0180865	 0.000543064	 0.35203	 0.00394677	 123.182	 104	 0.249412
90	 100	 348.153	 4.11731	 2485.91	 36.6221	 0.818083	 0.0229345	 2.67e-05	 0	 0.00838468	 0.000196574	 0.0180254	 0.000663979	 0.340862	 0.00513743	 120.962	 104	 0.253654
100	 120	 162.479	 2.10228	 1147.18	 18.2741	 0.818917	 0.028651	 2.67e-05	 0	 0.00821593	 0.000223788	 0.0170342	 0.000745002	 0.332424	 0.00527146	 98.0759	 104	 0.250998
