pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 28	 159934	 139.91	 698136	 1077.86	 0.73384	 0.00533117	 3.45025e-05	 1.04979e-05	 0.0125041	 4.35239e-05	 0.0229288	 0.000125895	 0.359649	 0.000549501	 337.87	 103	 0.173231
28	 31	 100883	 111.511	 477886	 892.445	 0.729101	 0.00641251	 1.27666e-05	 1.30482e-05	 0.0119944	 5.12322e-05	 0.0219329	 0.000138044	 0.360086	 0.000665996	 225.791	 103	 0.185022
31	 34	 65619.5	 92.7114	 331028	 743.939	 0.733542	 0.00725462	 2.76768e-05	 1.56951e-05	 0.0115584	 5.88807e-05	 0.0212537	 0.000151625	 0.360961	 0.000800099	 214.216	 103	 0.194525
34	 37	 43862.7	 76.1808	 232954	 634.496	 0.745234	 0.00843917	 1.37018e-05	 1.89737e-05	 0.0112881	 6.78375e-05	 0.020965	 0.000183085	 0.360655	 0.000970041	 197.524	 103	 0.202578
37	 40	 30245.7	 63.2496	 166839	 538.035	 0.77238	 0.00886586	 7.92212e-06	 2.22239e-05	 0.011076	 7.08066e-05	 0.0209243	 0.000219088	 0.362413	 0.00118171	 150.978	 103	 0.208924
40	 43	 21205.2	 53.7116	 122395	 460.301	 0.7766	 0.0105417	 3.89975e-05	 2.66171e-05	 0.0108664	 8.22983e-05	 0.0204336	 0.000253697	 0.35775	 0.00134798	 140.446	 103	 0.216125
43	 46	 15233.8	 46.2233	 90444.1	 399.124	 0.781907	 0.0110251	 4.35676e-05	 3.08895e-05	 0.0105292	 8.90144e-05	 0.0202276	 0.00027526	 0.35956	 0.00159962	 118.107	 103	 0.220816
46	 51	 10065	 29.7931	 61811.2	 257.283	 0.795036	 0.00983995	 6.60761e-05	 2.89678e-05	 0.0103361	 8.03589e-05	 0.0200304	 0.000258221	 0.357448	 0.00150848	 149.483	 103	 0.226651
51	 56	 6246.57	 23.4129	 39203.3	 207.517	 0.819517	 0.010849	 3.11496e-05	 3.60525e-05	 0.0100839	 9.06918e-05	 0.0201779	 0.000341093	 0.36049	 0.00191604	 132.125	 103	 0.230757
56	 61	 3945.12	 18.5398	 25740.7	 168.492	 0.815009	 0.0137532	 6.22988e-06	 4.51247e-05	 0.0098749	 0.000110016	 0.0193578	 0.00038407	 0.354737	 0.00234384	 123.249	 103	 0.23744
61	 66	 2645.65	 16.2376	 17289.1	 141.541	 0.792457	 0.0166967	 5.95224e-05	 5.36686e-05	 0.00922142	 0.000136553	 0.0184445	 0.000400646	 0.358649	 0.00291175	 120.634	 103	 0.237721
66	 71	 1760.37	 13.2786	 11904.6	 118.112	 0.77763	 0.0206709	 3.43875e-05	 6.55622e-05	 0.00892187	 0.000162572	 0.0177389	 0.000442673	 0.354911	 0.00350966	 98.6479	 103	 0.243654
71	 76	 1228.26	 10.7686	 8219.85	 100.068	 0.857574	 0.0187677	 3.21903e-05	 7.6974e-05	 0.00927508	 0.000161471	 0.0195062	 0.000749737	 0.356885	 0.00433033	 108.363	 103	 0.241725
76	 84	 779.712	 6.95183	 5369.89	 63.8299	 0.826471	 0.021095	 4.4619e-05	 7.42963e-05	 0.00887012	 0.000171017	 0.0182149	 0.000615662	 0.35414	 0.00416639	 104.946	 103	 0.24673
84	 92	 467.199	 5.50333	 3254.02	 50.0727	 0.812418	 0.0244083	 7.13159e-05	 9.57282e-05	 0.00841483	 0.000201726	 0.0175551	 0.00063285	 0.349643	 0.005222	 117.834	 103	 0.248924
92	 100	 288.254	 4.42798	 2103.15	 41.7842	 0.817801	 0.0289914	 2.62835e-05	 0.000119987	 0.00827772	 0.00024984	 0.0178729	 0.000836711	 0.333202	 0.00621984	 124.854	 103	 0.257212
100	 120	 144.997	 1.95478	 1005.79	 18.1411	 0.821176	 0.0325881	 0.000145452	 0.00010517	 0.00820311	 0.000250167	 0.0168607	 0.000838647	 0.335924	 0.00561541	 100.941	 103	 0.247428
