pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 28	 159681	 131.921	 695872	 905.977	 0.761	 0	 2.76e-05	 0	 0.0127124	 1.38184e-05	 0.0236082	 2.57008e-05	 0.359949	 0.000530202	 365.381	 105	 0.17311
28	 31	 100692	 106.854	 475743	 762.897	 0.761	 0	 2.76e-05	 0	 0.0122377	 1.69448e-05	 0.0226787	 2.99818e-05	 0.360601	 0.000648875	 252.311	 105	 0.184723
31	 34	 65500.2	 88.4317	 330012	 660.394	 0.761	 0	 2.76e-05	 0	 0.0117645	 2.04687e-05	 0.0218606	 3.4755e-05	 0.361173	 0.000796249	 228.731	 105	 0.19441
34	 37	 43816.3	 73.0975	 232384	 554.153	 0.761	 0	 2.76e-05	 0	 0.0114074	 2.44147e-05	 0.0213229	 4.05042e-05	 0.36093	 0.000950408	 201.538	 105	 0.202383
37	 40	 30273.5	 61.5727	 166891	 477.411	 0.761	 0	 2.76e-05	 0	 0.0109948	 2.83759e-05	 0.0206718	 4.63721e-05	 0.362588	 0.0011439	 153.415	 105	 0.208769
40	 43	 21228.7	 52.2185	 122664	 416.033	 0.761	 0	 2.76e-05	 0	 0.010753	 3.35207e-05	 0.0200795	 5.35155e-05	 0.357554	 0.0013144	 142.719	 105	 0.216284
43	 46	 15257.9	 45.0091	 90720.6	 363.702	 0.761	 0	 2.76e-05	 0	 0.0103756	 3.85266e-05	 0.0197442	 6.08713e-05	 0.359297	 0.00155468	 121.767	 105	 0.221035
46	 51	 10091.2	 28.5684	 62153.9	 239.918	 0.761	 0	 2.76e-05	 0	 0.0100878	 3.58552e-05	 0.0192298	 5.79588e-05	 0.356918	 0.00148799	 162.04	 105	 0.227129
51	 56	 6278.7	 22.4805	 39476	 192.981	 0.761	 0	 2.76e-05	 0	 0.00966623	 4.46589e-05	 0.0187206	 6.94554e-05	 0.360292	 0.00187895	 156.229	 105	 0.230928
56	 61	 3962.91	 18.2047	 25852.7	 147.181	 0.761	 0	 2.76e-05	 0	 0.00950957	 5.47983e-05	 0.0181472	 8.2044e-05	 0.354912	 0.00226247	 136.647	 105	 0.237281
61	 66	 2653.57	 15.6853	 17377.1	 132.322	 0.761	 0	 2.76e-05	 0	 0.0089935	 6.63499e-05	 0.017766	 9.82301e-05	 0.35829	 0.00288194	 124.27	 105	 0.23809
66	 71	 1763.23	 12.9284	 11929.7	 111.255	 0.761	 0	 2.76e-05	 0	 0.00880432	 8.06789e-05	 0.0174125	 0.00011735	 0.354846	 0.00344469	 99.267	 105	 0.243734
71	 76	 1239.57	 10.7877	 8319.23	 92.6402	 0.761	 0	 2.76e-05	 0	 0.00862793	 9.20741e-05	 0.016932	 0.000142909	 0.356615	 0.00422055	 126.234	 105	 0.241978
76	 84	 784.935	 6.95739	 5414.89	 63.3436	 0.761	 0	 2.76e-05	 0	 0.00842423	 0.000100303	 0.0167326	 0.00014396	 0.353979	 0.0042359	 112.554	 105	 0.246954
84	 92	 469.316	 5.44039	 3277.03	 48.1125	 0.761	 0	 2.76e-05	 0	 0.00806636	 0.000115463	 0.0164446	 0.00017286	 0.349302	 0.00521001	 121.918	 105	 0.249384
92	 100	 289.975	 4.35204	 2116.39	 40.001	 0.761	 0	 2.76e-05	 0	 0.00788358	 0.00014759	 0.0165752	 0.000221249	 0.333316	 0.00607624	 128.127	 105	 0.257181
100	 120	 145.835	 1.94237	 1019.14	 16.4762	 0.761	 0	 2.76e-05	 0	 0.00780444	 0.000124791	 0.0155664	 0.0001885	 0.334701	 0.00558344	 105.124	 105	 0.248839
