pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 27.5	 165701	 155.801	 718457	 1155.36	 0.735573	 0.00583437	 2.77e-05	 0	 0.0125624	 4.72272e-05	 0.0230262	 0.000139559	 0.359673	 0.000578337	 319.481	 104	 0.172307
27.5	 30	 112646	 131.78	 525509	 965.812	 0.729602	 0.00662455	 2.77e-05	 0	 0.0120997	 5.38086e-05	 0.0221414	 0.000143926	 0.359308	 0.000671926	 224.021	 104	 0.182724
30	 32.5	 78079.9	 112.217	 384541	 830.426	 0.729495	 0.00748806	 2.77e-05	 0	 0.0116886	 6.08971e-05	 0.0215025	 0.000157056	 0.360501	 0.000798912	 197.409	 104	 0.190853
32.5	 35	 55176.1	 94.4126	 284008	 715.268	 0.731419	 0.00888916	 2.77e-05	 0	 0.0114108	 7.04892e-05	 0.0209352	 0.000178742	 0.362499	 0.000948811	 189.082	 104	 0.197663
35	 37.5	 39796.3	 80.7436	 213636	 627.323	 0.758812	 0.00914329	 2.77e-05	 0	 0.0112719	 7.35667e-05	 0.0211096	 0.0002134	 0.360077	 0.00108783	 146.215	 104	 0.204301
37.5	 40	 29260.8	 69.6867	 161596	 548.938	 0.774938	 0.00981597	 2.77e-05	 0	 0.0110758	 7.91018e-05	 0.0209598	 0.000244967	 0.36392	 0.00129374	 136.703	 104	 0.209122
40	 42.5	 21813.5	 60.4001	 125428	 482.261	 0.775985	 0.0114109	 2.77e-05	 0	 0.0108822	 8.96199e-05	 0.0204298	 0.000270464	 0.357907	 0.00143072	 123.389	 104	 0.215545
42.5	 45	 16489.5	 53.5458	 97759	 433.829	 0.778053	 0.011914	 2.77e-05	 0	 0.010546	 9.62722e-05	 0.0202213	 0.000291152	 0.357739	 0.00162725	 129.695	 104	 0.220518
45	 47.5	 12535.7	 46.5054	 75650.8	 382.4	 0.801535	 0.0132511	 2.77e-05	 0	 0.0106146	 0.000106018	 0.0204691	 0.000369403	 0.358373	 0.00186672	 136.191	 104	 0.223583
47.5	 50	 9749.35	 41.3371	 60054.6	 342.596	 0.794444	 0.0141713	 2.77e-05	 0	 0.0102559	 0.00011346	 0.0198521	 0.000366937	 0.359253	 0.00212374	 126.425	 104	 0.227303
50	 55	 6861.75	 24.8227	 42919	 206.763	 0.807156	 0.0109814	 2.77e-05	 0	 0.010065	 9.04052e-05	 0.0199456	 0.000313862	 0.359567	 0.00179037	 161.443	 104	 0.230135
55	 60	 4303.86	 19.5514	 27974.9	 167.929	 0.811695	 0.0130647	 2.77e-05	 0	 0.00989556	 0.000105442	 0.0194544	 0.00036264	 0.354895	 0.00220306	 111.82	 104	 0.236806
60	 65	 2850.62	 16.2309	 18591.7	 136.371	 0.808211	 0.0155638	 2.77e-05	 0	 0.00945072	 0.000127653	 0.01892	 0.000419563	 0.35936	 0.00274323	 134.596	 104	 0.237492
65	 70	 1914.34	 14.2377	 12857.4	 120.829	 0.760305	 0.0217175	 2.77e-05	 0	 0.00880954	 0.000175209	 0.0174257	 0.00042298	 0.354167	 0.00334177	 126.293	 104	 0.242279
70	 75	 1317.92	 10.9837	 8903.32	 99.039	 0.844251	 0.018855	 2.77e-05	 0	 0.00916443	 0.00016013	 0.0191716	 0.000671619	 0.355607	 0.00404185	 113.444	 104	 0.243429
75	 80	 912.335	 9.31688	 6248.77	 83.213	 0.841602	 0.0249351	 2.77e-05	 0	 0.00914805	 0.000201011	 0.0186963	 0.000815146	 0.350485	 0.00470597	 109.451	 104	 0.245853
80	 90	 568.221	 5.2537	 3960.05	 46.0352	 0.822762	 0.021123	 2.77e-05	 0	 0.00860921	 0.000173666	 0.0177819	 0.000586847	 0.351864	 0.00425586	 123.583	 104	 0.248825
90	 100	 308.302	 3.97325	 2210.44	 34.9445	 0.820345	 0.0248341	 2.77e-05	 0	 0.00831972	 0.0002094	 0.0178516	 0.000720378	 0.338928	 0.00540693	 122.158	 104	 0.254028
100	 120	 144.854	 2.01579	 1011.55	 17.4745	 0.82299	 0.0323941	 2.77e-05	 0	 0.00820148	 0.000250192	 0.0168406	 0.000836543	 0.334724	 0.0059096	 102.193	 104	 0.248785
