pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 28	 179762	 147.852	 785851	 1150.77	 0.732639	 0.00501327	 3.24186e-05	 9.9705e-06	 0.0125669	 4.13994e-05	 0.0231418	 0.00012041	 0.360205	 0.000518813	 371.293	 103	 0.17354
28	 31	 113724	 120.16	 540792	 951.15	 0.724973	 0.0060729	 1.87421e-05	 1.22121e-05	 0.0120418	 4.94387e-05	 0.0220912	 0.000131096	 0.359736	 0.000613718	 261.581	 103	 0.185641
31	 34	 74086.6	 98.5921	 374928	 796.37	 0.729651	 0.00687888	 1.88193e-05	 1.4846e-05	 0.0116066	 5.60439e-05	 0.0214676	 0.000145943	 0.361267	 0.000757749	 220.76	 103	 0.195126
34	 37	 49561.4	 80.7549	 264283	 675.928	 0.741993	 0.0079965	 1.14937e-05	 1.79795e-05	 0.0113597	 6.48964e-05	 0.0211104	 0.000173003	 0.361101	 0.000910616	 216.029	 103	 0.203318
37	 40	 34227.5	 67.7656	 189499	 571.25	 0.769367	 0.00821876	 1.10864e-05	 2.13185e-05	 0.0111354	 6.75618e-05	 0.021166	 0.000205892	 0.362448	 0.00109999	 165.248	 103	 0.209581
40	 43	 23998	 57.2488	 138998	 493.84	 0.761565	 0.0100941	 4.21701e-05	 2.528e-05	 0.0108498	 7.97103e-05	 0.0204138	 0.00022914	 0.35801	 0.0012566	 142.519	 103	 0.21676
43	 46	 17213.3	 49.1231	 102621	 427.046	 0.779635	 0.0103436	 2.97585e-05	 2.91613e-05	 0.0106128	 8.41384e-05	 0.020497	 0.00026331	 0.359655	 0.00150647	 119.861	 103	 0.221678
46	 51	 11378.6	 31.5372	 70031.7	 277.856	 0.786422	 0.00934533	 6.96184e-05	 2.76085e-05	 0.0103816	 7.69346e-05	 0.0201605	 0.000239573	 0.358239	 0.00142187	 147.015	 103	 0.227091
51	 56	 7042.57	 25.1979	 44524.3	 222.31	 0.819249	 0.0107282	 2.28557e-05	 3.43435e-05	 0.010203	 8.98201e-05	 0.020456	 0.000348629	 0.359792	 0.00179208	 147.678	 103	 0.232088
56	 61	 4452.26	 19.655	 29130.6	 178.889	 0.803352	 0.0131986	 3.43919e-06	 4.27772e-05	 0.00990641	 0.000106484	 0.0193972	 0.000350266	 0.355374	 0.00217627	 121.403	 103	 0.238002
61	 66	 2966.53	 16.3736	 19498.1	 148.739	 0.793379	 0.0149048	 8.10195e-05	 5.1519e-05	 0.0093755	 0.000122835	 0.018834	 0.000375892	 0.3585	 0.00274521	 109.762	 103	 0.238635
66	 71	 1977.17	 13.644	 13444.5	 123.408	 0.768737	 0.018225	 1.86538e-05	 6.1891e-05	 0.0089909	 0.000148684	 0.0178271	 0.000391465	 0.354565	 0.00328549	 99.1172	 103	 0.244675
71	 76	 1373.73	 11.3317	 9223.58	 105.641	 0.836436	 0.0195245	 6.19336e-05	 7.38594e-05	 0.00930563	 0.000164804	 0.0192061	 0.000652299	 0.356839	 0.00405434	 120.553	 103	 0.242279
76	 84	 874.836	 7.35671	 6050.72	 68.087	 0.81117	 0.0212374	 6.37347e-05	 7.17943e-05	 0.00885133	 0.000174007	 0.0181084	 0.000563808	 0.353875	 0.00391437	 107.452	 103	 0.247442
84	 92	 523.105	 5.7183	 3647.33	 52.1862	 0.830135	 0.0211864	 4.1874e-05	 9.02965e-05	 0.00863115	 0.000183142	 0.0184157	 0.000664136	 0.350999	 0.00498415	 109.504	 103	 0.24928
92	 100	 322.61	 4.48155	 2349.29	 41.7042	 0.816489	 0.0267951	 5.80883e-05	 0.000114611	 0.00836318	 0.000230285	 0.0180681	 0.000782214	 0.334915	 0.00567753	 121.718	 103	 0.257195
100	 120	 161.13	 2.07838	 1133.88	 19.0899	 0.820395	 0.0286291	 0.000106889	 0.000101122	 0.0082575	 0.000229405	 0.0171168	 0.000746941	 0.333452	 0.00527825	 95.8397	 103	 0.250311
