pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 28	 179520	 139.818	 783599	 960.516	 0.756	 0	 2.67e-05	 0	 0.0127479	 1.32009e-05	 0.0237295	 2.41151e-05	 0.360482	 0.000499395	 394.16	 105	 0.173428
28	 31	 113512	 113.44	 538567	 813.605	 0.756	 0	 2.67e-05	 0	 0.0122805	 1.62037e-05	 0.0228113	 2.8136e-05	 0.360168	 0.000608072	 288.884	 105	 0.185402
31	 34	 73960.5	 93.388	 373652	 690.178	 0.756	 0	 2.67e-05	 0	 0.0118083	 1.94286e-05	 0.0220589	 3.25372e-05	 0.361583	 0.000743155	 236.094	 105	 0.194934
34	 37	 49516.6	 77.5999	 263674	 589.578	 0.756	 0	 2.67e-05	 0	 0.0114666	 2.33147e-05	 0.0214283	 3.79809e-05	 0.361383	 0.000891002	 219.745	 105	 0.203115
37	 40	 34263.2	 65.4908	 189645	 509.167	 0.756	 0	 2.67e-05	 0	 0.0110376	 2.70701e-05	 0.0208623	 4.35055e-05	 0.362555	 0.00106948	 168.396	 105	 0.209477
40	 43	 24006.2	 55.7012	 139183	 445.467	 0.756	 0	 2.67e-05	 0	 0.0108071	 3.19664e-05	 0.0202851	 5.00077e-05	 0.357808	 0.00123909	 143.183	 105	 0.216932
43	 46	 17244.8	 47.4059	 102905	 388.067	 0.756	 0	 2.67e-05	 0	 0.0104387	 3.67697e-05	 0.0199534	 5.72377e-05	 0.359523	 0.00148644	 124.857	 105	 0.221778
46	 51	 11404.2	 30.2062	 70408.7	 254.862	 0.756	 0	 2.67e-05	 0	 0.0101551	 3.44837e-05	 0.0194486	 5.27082e-05	 0.35766	 0.00141718	 159.204	 105	 0.227613
51	 56	 7081.35	 23.8543	 44844.9	 206.63	 0.756	 0	 2.67e-05	 0	 0.00974915	 4.24336e-05	 0.0188731	 6.49101e-05	 0.359643	 0.00179519	 178.093	 105	 0.232205
56	 61	 4469.9	 19.5981	 29234.9	 168.918	 0.756	 0	 2.67e-05	 0	 0.00958062	 5.20417e-05	 0.0183685	 7.9613e-05	 0.355579	 0.00216846	 132.941	 105	 0.237813
61	 66	 2976.18	 16.4952	 19629.2	 140.553	 0.756	 0	 2.67e-05	 0	 0.0091006	 6.35964e-05	 0.0180038	 9.3006e-05	 0.357882	 0.00269544	 116.449	 105	 0.23926
66	 71	 1979.82	 13.6969	 13458.3	 118.802	 0.756	 0	 2.67e-05	 0	 0.0089008	 7.81844e-05	 0.0175885	 0.000110539	 0.354654	 0.00322326	 99.4933	 105	 0.244593
71	 76	 1384.1	 11.3717	 9328.44	 98.1113	 0.756	 0	 2.67e-05	 0	 0.00874973	 8.97744e-05	 0.0172279	 0.000133981	 0.356302	 0.00394162	 133.624	 105	 0.242814
76	 84	 879.806	 7.35438	 6100.87	 64.8451	 0.756	 0	 2.67e-05	 0	 0.00846374	 9.04471e-05	 0.0169062	 0.000129248	 0.353496	 0.00386417	 113.424	 105	 0.247885
84	 92	 526.529	 5.65661	 3677.31	 50.1114	 0.756	 0	 2.67e-05	 0	 0.00812965	 0.000108532	 0.0166654	 0.000165191	 0.350936	 0.00493089	 119.358	 105	 0.249457
92	 100	 324.42	 4.58488	 2367.72	 42.1218	 0.756	 0	 2.67e-05	 0	 0.00794147	 0.000140955	 0.0166748	 0.000209054	 0.334717	 0.00575712	 126.093	 105	 0.257546
100	 120	 162.137	 2.05504	 1147.1	 18.2873	 0.756	 0	 2.67e-05	 0	 0.00783058	 0.000125269	 0.0157387	 0.000180852	 0.332632	 0.005164	 100.568	 105	 0.251298
