pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 27.5	 186181	 165.899	 808153	 1210.45	 0.735736	 0.00552367	 2.68e-05	 0	 0.0126359	 4.50645e-05	 0.0232763	 0.000135439	 0.36029	 0.000540861	 341.004	 104	 0.172572
27.5	 30	 126937	 140.512	 594587	 1036.93	 0.72312	 0.00653598	 2.68e-05	 0	 0.012126	 5.30564e-05	 0.0222393	 0.000140364	 0.359074	 0.000630614	 251.39	 104	 0.183368
30	 32.5	 88103.1	 119.046	 434949	 887.286	 0.726377	 0.00702451	 2.68e-05	 0	 0.0117497	 5.78929e-05	 0.021713	 0.000149118	 0.360749	 0.00075019	 204.309	 104	 0.191303
32.5	 35	 62326.2	 101.341	 322162	 765.454	 0.730849	 0.00819026	 2.68e-05	 0	 0.0114732	 6.63667e-05	 0.0211999	 0.00016947	 0.362598	 0.000875903	 194.611	 104	 0.198438
35	 37.5	 44990.7	 85.6036	 242403	 664.009	 0.748492	 0.00882255	 2.68e-05	 0	 0.0113048	 7.10965e-05	 0.0210969	 0.000196727	 0.360733	 0.00102089	 153.674	 104	 0.204953
37.5	 40	 33106.8	 73.3814	 183676	 583.648	 0.776595	 0.00909256	 2.68e-05	 0	 0.0111665	 7.4115e-05	 0.0213114	 0.000238007	 0.363515	 0.00120619	 157.721	 104	 0.209939
40	 42.5	 24674.7	 64.7596	 142528	 517.98	 0.760987	 0.0108378	 2.68e-05	 0	 0.0108734	 8.6134e-05	 0.0203881	 0.000242618	 0.358047	 0.00134544	 130.889	 104	 0.216352
42.5	 45	 18646.6	 56.8288	 110944	 462.792	 0.773062	 0.0110227	 2.68e-05	 0	 0.0105898	 9.09804e-05	 0.0204589	 0.000271324	 0.357755	 0.00152204	 126.352	 104	 0.221248
45	 47.5	 14166.9	 49.1326	 85793.9	 406.597	 0.792155	 0.0125657	 2.68e-05	 0	 0.0106665	 0.000101314	 0.0205746	 0.000338249	 0.358349	 0.00174258	 125.48	 104	 0.22429
47.5	 50	 11036.5	 44.2274	 68028.1	 365.035	 0.787149	 0.0133489	 2.68e-05	 0	 0.010303	 0.000109073	 0.020004	 0.000339213	 0.360422	 0.00200046	 133.098	 104	 0.227452
50	 55	 7737.76	 26.3481	 48665.2	 221.571	 0.807343	 0.0105376	 2.68e-05	 0	 0.010183	 8.72409e-05	 0.0202499	 0.000310476	 0.359741	 0.00168668	 175.261	 104	 0.231185
55	 60	 4856.48	 20.8276	 31691	 178.608	 0.799321	 0.0128525	 2.68e-05	 0	 0.0099364	 0.000104045	 0.0194545	 0.000335289	 0.355318	 0.00204957	 112.671	 104	 0.237507
60	 65	 3200.66	 17.1033	 21002	 146.675	 0.809401	 0.0142375	 2.68e-05	 0	 0.00959271	 0.000119678	 0.0192859	 0.000397987	 0.358913	 0.00261817	 129.136	 104	 0.238525
65	 70	 2149.97	 14.6519	 14483	 124.201	 0.755723	 0.0200036	 2.68e-05	 0	 0.00889547	 0.000161583	 0.0176779	 0.000384417	 0.355005	 0.00312625	 127.665	 104	 0.242868
70	 75	 1474.31	 11.5904	 10023.8	 103.688	 0.826694	 0.0189175	 2.68e-05	 0	 0.00920452	 0.000159912	 0.0189696	 0.000590698	 0.355274	 0.00372928	 123.208	 104	 0.244639
75	 80	 1021.78	 9.99662	 7013.15	 88.2084	 0.833424	 0.024999	 2.68e-05	 0	 0.00922149	 0.000202597	 0.0188011	 0.000781828	 0.350161	 0.00440658	 104.893	 104	 0.246135
80	 90	 636.385	 5.55122	 4455.15	 48.8024	 0.824214	 0.0189038	 2.68e-05	 0	 0.00870182	 0.000160152	 0.0182039	 0.000549753	 0.351924	 0.00398171	 118.714	 104	 0.249679
90	 100	 345.503	 4.10011	 2468.75	 36.5885	 0.820491	 0.0230218	 2.68e-05	 0	 0.00841631	 0.000197467	 0.0180982	 0.00067831	 0.340838	 0.00515256	 120.327	 104	 0.25385
100	 120	 161.012	 1.96894	 1138.2	 17.3822	 0.821751	 0.0285265	 2.68e-05	 0	 0.00825796	 0.000229793	 0.0171064	 0.000763017	 0.33265	 0.00528707	 96.4722	 104	 0.251241
