pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 28	 182960	 149.336	 798676	 1156.68	 0.728964	 0.00493749	 3.19034e-05	 9.83494e-06	 0.0125375	 4.1022e-05	 0.0230808	 0.000116613	 0.36013	 0.000514229	 372.98	 103	 0.173326
28	 31	 113776	 120.131	 539861	 942.37	 0.725423	 0.00598729	 2.12457e-05	 1.21746e-05	 0.0120372	 4.9021e-05	 0.0221174	 0.000130041	 0.359751	 0.000613447	 275.26	 103	 0.185317
31	 34	 72300.2	 96.6373	 364067	 781.045	 0.729796	 0.00679301	 3.14863e-05	 1.50181e-05	 0.011588	 5.61219e-05	 0.0214625	 0.000143668	 0.361451	 0.000765588	 202.014	 103	 0.194306
34	 37	 46506	 78.7593	 246355	 651.363	 0.744008	 0.00825363	 2.87014e-05	 1.85981e-05	 0.0113484	 6.61757e-05	 0.0211239	 0.000181366	 0.361033	 0.000944717	 210.299	 103	 0.202178
37	 40	 30483.3	 63.949	 167056	 533.302	 0.770715	 0.00847196	 2.38269e-05	 2.24345e-05	 0.011099	 6.97139e-05	 0.0210815	 0.000211247	 0.361807	 0.00117122	 148.352	 103	 0.207809
40	 43	 20022.9	 51.4671	 113835	 430.665	 0.764089	 0.0108282	 7.4127e-05	 2.68193e-05	 0.0107789	 8.52478e-05	 0.0202912	 0.000245319	 0.358	 0.00136073	 148.053	 103	 0.21344
43	 46	 13281.9	 43.6342	 77703.9	 371.021	 0.780826	 0.0114858	 6.90324e-05	 3.30227e-05	 0.0104792	 9.44426e-05	 0.0202343	 0.000287129	 0.357863	 0.00171113	 106.823	 103	 0.218218
46	 51	 7907.05	 26.3742	 46928.9	 225.478	 0.781302	 0.0110546	 0.000123206	 3.24238e-05	 0.0101329	 8.92813e-05	 0.0196415	 0.000265689	 0.357671	 0.00175351	 129.691	 103	 0.220452
51	 56	 4260.41	 19.3006	 25170.2	 165.994	 0.828794	 0.0125454	 9.38034e-05	 4.33053e-05	 0.010003	 0.000104934	 0.0201944	 0.00042038	 0.363429	 0.00248813	 120.742	 103	 0.220153
56	 61	 2363.82	 14.3986	 14331.8	 125.814	 0.812807	 0.0163168	 9.33606e-05	 5.67333e-05	 0.009565	 0.0001307	 0.0188152	 0.000437294	 0.354745	 0.00317891	 111.221	 103	 0.224116
61	 66	 1382.56	 11.6158	 8404.15	 95.38	 0.797937	 0.0226641	 0.000111281	 7.34147e-05	 0.00891458	 0.00017578	 0.0176986	 0.000527332	 0.356207	 0.0042212	 110.44	 103	 0.224747
66	 71	 835.13	 8.89543	 5038.59	 74.4977	 0.756975	 0.0295299	 -2.43704e-05	 8.80328e-05	 0.00835683	 0.00021546	 0.0162503	 0.000501202	 0.353483	 0.00539002	 95.3254	 103	 0.223311
71	 76	 514.313	 7.19529	 3060.38	 60.2406	 0.816487	 0.038066	 9.2704e-05	 0.000113135	 0.00859006	 0.000281937	 0.0169526	 0.000906626	 0.357893	 0.00745252	 83.7535	 103	 0.220672
76	 84	 293.704	 4.48032	 1721.97	 34.5358	 0.786163	 0.0362255	 0.000108766	 0.000112801	 0.00782035	 0.000274069	 0.0159975	 0.000733859	 0.368308	 0.00799629	 117.77	 103	 0.218861
84	 92	 147.453	 3.2045	 925.948	 27.0296	 0.808245	 0.0472805	 -7.93508e-05	 0.000154007	 0.00760795	 0.000347307	 0.0153216	 0.000965403	 0.335742	 0.00971994	 107.835	 103	 0.229755
92	 100	 81.3151	 2.37235	 515.591	 19.9106	 0.837814	 0.0502681	 0.000145221	 0.000202861	 0.00747668	 0.000388225	 0.015521	 0.00128386	 0.312381	 0.0114093	 100.73	 103	 0.230047
100	 120	 34.6645	 1.06167	 198.499	 8.38778	 0.822745	 0.0583831	 0.000217343	 0.000192311	 0.00693436	 0.000425395	 0.0143552	 0.00126306	 0.316353	 0.0125846	 113.916	 103	 0.210984
