pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 27.5	 190666	 168.583	 826478	 1231.25	 0.732333	 0.0053875	 3.08e-05	 0	 0.0126085	 4.42937e-05	 0.0232286	 0.000130098	 0.360249	 0.000536343	 346.025	 104	 0.172365
27.5	 30	 129030	 141.813	 603290	 1041.88	 0.722524	 0.0063104	 3.08e-05	 0	 0.0121182	 5.15095e-05	 0.0222537	 0.000136562	 0.359085	 0.000627557	 260.289	 104	 0.183098
30	 32.5	 88728.7	 119.598	 437183	 889.293	 0.726222	 0.00697806	 3.08e-05	 0	 0.0117442	 5.76485e-05	 0.021719	 0.0001482	 0.360735	 0.000747865	 204.691	 104	 0.190996
32.5	 35	 62098.4	 101.266	 319763	 757.06	 0.730595	 0.00806974	 3.08e-05	 0	 0.0114507	 6.57439e-05	 0.0211965	 0.000166749	 0.363046	 0.000877784	 203.251	 104	 0.197822
35	 37.5	 44089	 85.1049	 236909	 659.403	 0.747147	 0.00896774	 3.08e-05	 0	 0.0112824	 7.24568e-05	 0.0210606	 0.000197771	 0.360261	 0.00103232	 159.418	 104	 0.204476
37.5	 40	 31839.7	 72.0868	 175835	 570.044	 0.775283	 0.00930627	 3.08e-05	 0	 0.0111426	 7.55318e-05	 0.0211994	 0.000239089	 0.36317	 0.00123287	 155.8	 104	 0.209115
40	 42.5	 23170.5	 62.802	 132881	 498.249	 0.762413	 0.0112428	 3.08e-05	 0	 0.0108472	 8.90505e-05	 0.0203528	 0.000252181	 0.357636	 0.0013823	 143.785	 104	 0.21505
42.5	 45	 17025.5	 54.4805	 100587	 441.095	 0.771722	 0.0115736	 3.08e-05	 0	 0.0105281	 9.52673e-05	 0.020328	 0.000280303	 0.356901	 0.00159712	 135.419	 104	 0.21999
45	 47.5	 12537.8	 46.3799	 75210.4	 380.081	 0.792358	 0.0135958	 3.08e-05	 0	 0.0106146	 0.000108237	 0.0203596	 0.00035707	 0.356711	 0.00185022	 118.139	 104	 0.222543
47.5	 50	 9433.13	 40.8293	 57042.4	 333.08	 0.791859	 0.0138583	 3.08e-05	 0	 0.0102224	 0.000114264	 0.0200065	 0.000363614	 0.36181	 0.00223699	 118.906	 104	 0.224106
50	 55	 6290.23	 23.7984	 38481.7	 194.694	 0.797629	 0.0115119	 3.08e-05	 0	 0.0099594	 9.4715e-05	 0.0197547	 0.000310904	 0.360046	 0.00189002	 158.753	 104	 0.226171
55	 60	 3633.84	 18.0901	 22890.9	 151.103	 0.8078	 0.0141601	 3.08e-05	 0	 0.00982803	 0.000114079	 0.0192442	 0.000377459	 0.35404	 0.00243761	 98.0032	 104	 0.23108
60	 65	 2217.54	 14.5689	 13876.4	 118.673	 0.802274	 0.0176907	 3.08e-05	 0	 0.00931443	 0.000141642	 0.018425	 0.000439709	 0.359233	 0.00321477	 134.109	 104	 0.229934
65	 70	 1390.24	 12.0542	 8787.04	 98.3326	 0.722102	 0.026843	 3.08e-05	 0	 0.00840204	 0.000210243	 0.0162942	 0.000398495	 0.354089	 0.00402238	 123.065	 104	 0.231298
70	 75	 884.488	 9.48878	 5511.6	 77.3214	 0.826435	 0.0269931	 3.08e-05	 0	 0.00885569	 0.000211441	 0.017944	 0.000765447	 0.358156	 0.00532029	 118.22	 104	 0.228677
75	 80	 566.933	 7.57332	 3523.72	 61.9021	 0.857903	 0.0294588	 3.08e-05	 0	 0.00884245	 0.000240882	 0.0185405	 0.00110402	 0.359206	 0.00683054	 122.143	 104	 0.228251
80	 90	 323.305	 4.16488	 2069.57	 33.9457	 0.808607	 0.0278988	 3.08e-05	 0	 0.00797134	 0.00021625	 0.0164186	 0.000651731	 0.351499	 0.00602295	 130.121	 104	 0.23343
90	 100	 154.115	 2.77661	 1017.44	 23.7336	 0.869651	 0.0284798	 3.08e-05	 0	 0.00804067	 0.000245759	 0.0173584	 0.00107523	 0.324994	 0.00772021	 110.095	 104	 0.238629
100	 120	 64.2127	 1.32656	 396.614	 10.7591	 0.790878	 0.0506112	 3.08e-05	 0	 0.00715622	 0.000319832	 0.0141434	 0.000888545	 0.317846	 0.00852799	 111.769	 104	 0.225303
