pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 27.5	 190843	 157.866	 826059	 1077.23	 0.753	 0	 2.88e-05	 0	 0.0127695	 1.41152e-05	 0.0237493	 2.55004e-05	 0.360538	 0.000531804	 361.552	 105	 0.172251
27.5	 30	 129354	 132.329	 603801	 939.376	 0.753	 0	 2.88e-05	 0	 0.0123548	 1.67984e-05	 0.0229618	 2.89894e-05	 0.359432	 0.000624519	 284.174	 105	 0.182966
30	 32.5	 89317.6	 111.756	 439664	 813.792	 0.753	 0	 2.88e-05	 0	 0.011951	 1.96573e-05	 0.0223264	 3.28969e-05	 0.360982	 0.000745258	 221.691	 105	 0.190948
32.5	 35	 62854.6	 95.1324	 323749	 708.924	 0.753	 0	 2.88e-05	 0	 0.0116308	 2.30536e-05	 0.0216928	 3.74263e-05	 0.36289	 0.000882764	 208.602	 105	 0.197931
35	 37.5	 45058	 81.4573	 242338	 622.418	 0.753	 0	 2.88e-05	 0	 0.011332	 2.66352e-05	 0.0212118	 4.25391e-05	 0.360472	 0.00101733	 156.937	 105	 0.204662
37.5	 40	 32960.5	 70.5066	 182498	 547.845	 0.753	 0	 2.88e-05	 0	 0.0109787	 3.0275e-05	 0.0207358	 4.7905e-05	 0.36339	 0.00120101	 163.359	 105	 0.209514
40	 42.5	 24294	 61.2051	 139732	 485.808	 0.753	 0	 2.88e-05	 0	 0.0107904	 3.50428e-05	 0.0202107	 5.40407e-05	 0.358084	 0.00134767	 139.633	 105	 0.215586
42.5	 45	 18161.7	 53.4147	 107611	 436.192	 0.753	 0	 2.88e-05	 0	 0.0104239	 3.97003e-05	 0.0199669	 6.05172e-05	 0.357644	 0.00158505	 139.2	 105	 0.220496
45	 47.5	 13643.8	 46.2136	 82182.2	 381.286	 0.753	 0	 2.88e-05	 0	 0.0103641	 4.51978e-05	 0.019598	 7.04232e-05	 0.358005	 0.00182711	 129.28	 105	 0.223221
47.5	 50	 10463.6	 41.6323	 64134.9	 342.144	 0.753	 0	 2.88e-05	 0	 0.0100064	 5.07942e-05	 0.0192012	 7.62169e-05	 0.360135	 0.00206211	 135.26	 105	 0.226358
50	 55	 7184.11	 24.7294	 44755.9	 205.005	 0.753	 0	 2.88e-05	 0	 0.00973845	 4.27029e-05	 0.0188684	 6.38838e-05	 0.359303	 0.00175322	 188.909	 105	 0.229304
55	 60	 4346.74	 19.3024	 27939.7	 163.352	 0.753	 0	 2.88e-05	 0	 0.00954307	 5.35417e-05	 0.0182633	 7.94298e-05	 0.354725	 0.0021896	 112.574	 105	 0.234643
60	 65	 2766.32	 15.8553	 17786.7	 132.386	 0.753	 0	 2.88e-05	 0	 0.00909722	 6.59704e-05	 0.0177302	 9.52655e-05	 0.358838	 0.00283552	 146.841	 105	 0.234803
65	 70	 1781.47	 13.0867	 11678.8	 111.053	 0.753	 0	 2.88e-05	 0	 0.00876028	 8.25136e-05	 0.0172209	 0.00011308	 0.352524	 0.0034743	 116.121	 105	 0.237702
70	 75	 1189.13	 10.6732	 7755.3	 90.4417	 0.753	 0	 2.88e-05	 0	 0.00850529	 9.59953e-05	 0.0167435	 0.000141012	 0.355661	 0.00437283	 142.624	 105	 0.236896
75	 80	 789.241	 8.67809	 5114.94	 74.0232	 0.753	 0	 2.88e-05	 0	 0.00838174	 0.000116214	 0.0166829	 0.000169384	 0.355905	 0.00555863	 111.888	 105	 0.235633
80	 90	 461.884	 4.9079	 3085.93	 41.8878	 0.753	 0	 2.88e-05	 0	 0.00796743	 0.000107456	 0.015798	 0.000150158	 0.351169	 0.00489955	 136.644	 105	 0.24088
90	 100	 230.948	 3.44472	 1546.54	 29.884	 0.753	 0	 2.88e-05	 0	 0.00767847	 0.000141742	 0.0157898	 0.000216856	 0.339886	 0.0066555	 109.993	 105	 0.241358
100	 120	 100.041	 1.6514	 658.804	 14.0563	 0.753	 0	 2.88e-05	 0	 0.00728894	 0.00014978	 0.014442	 0.000219315	 0.322964	 0.00676325	 127.308	 105	 0.237604
