pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 28	 184410	 141.884	 804051	 972.521	 0.754	 0	 2.66e-05	 0	 0.0127328	 1.30635e-05	 0.0237087	 2.36166e-05	 0.360402	 0.000492462	 397.746	 105	 0.173268
28	 31	 116131	 114.866	 550395	 822.259	 0.754	 0	 2.66e-05	 0	 0.0122646	 1.60641e-05	 0.0227917	 2.76234e-05	 0.360168	 0.000601261	 297.906	 105	 0.185247
31	 34	 75472.1	 94.4026	 380921	 697.122	 0.754	 0	 2.66e-05	 0	 0.0117902	 1.92936e-05	 0.0220305	 3.19798e-05	 0.361338	 0.000734862	 229.45	 105	 0.194771
34	 37	 50409.7	 78.3973	 268028	 594.824	 0.754	 0	 2.66e-05	 0	 0.0114464	 2.31861e-05	 0.0214105	 3.73758e-05	 0.361423	 0.000884168	 220.477	 105	 0.20287
37	 40	 34824	 66.084	 192474	 513.128	 0.754	 0	 2.66e-05	 0	 0.0110206	 2.69352e-05	 0.0208274	 4.28377e-05	 0.362441	 0.0010613	 171.959	 105	 0.209226
40	 43	 24362.2	 56.175	 141046	 448.692	 0.754	 0	 2.66e-05	 0	 0.010789	 3.1817e-05	 0.0202605	 4.92972e-05	 0.35772	 0.00123202	 148.593	 105	 0.216678
43	 46	 17487.6	 47.7557	 104230	 391.152	 0.754	 0	 2.66e-05	 0	 0.0104191	 3.66605e-05	 0.0199168	 5.64178e-05	 0.359391	 0.00147775	 125.985	 105	 0.221562
46	 51	 11552	 30.4139	 71186.7	 256.42	 0.754	 0	 2.66e-05	 0	 0.0101307	 3.43709e-05	 0.0194187	 5.20442e-05	 0.35791	 0.00141223	 163.93	 105	 0.227292
51	 56	 7167.22	 24.6551	 45306.5	 206.44	 0.754	 0	 2.66e-05	 0	 0.00972801	 4.24293e-05	 0.018847	 6.41718e-05	 0.359559	 0.00174312	 178.573	 105	 0.231871
56	 61	 4519.24	 19.6914	 29520.6	 168.578	 0.754	 0	 2.66e-05	 0	 0.00955522	 5.22641e-05	 0.0183312	 7.79509e-05	 0.355555	 0.00213238	 129.831	 105	 0.237584
61	 66	 3009.27	 16.6103	 19809.2	 141.217	 0.754	 0	 2.66e-05	 0	 0.00907752	 6.34296e-05	 0.0179593	 9.19356e-05	 0.357826	 0.00268309	 119.812	 105	 0.238936
66	 71	 2001.04	 13.7874	 13583.5	 119.221	 0.754	 0	 2.66e-05	 0	 0.00887726	 7.78977e-05	 0.017535	 0.000109287	 0.35453	 0.00320904	 103.425	 105	 0.244304
71	 76	 1398.16	 11.4547	 9414.01	 98.6498	 0.754	 0	 2.66e-05	 0	 0.00871779	 8.94993e-05	 0.0171857	 0.000132396	 0.356316	 0.00392685	 134.556	 105	 0.242645
76	 84	 886.949	 7.39978	 6144.5	 65.2206	 0.754	 0	 2.66e-05	 0	 0.0084429	 9.08676e-05	 0.0168698	 0.000128047	 0.35383	 0.00385997	 115.218	 105	 0.247726
84	 92	 531.222	 5.71843	 3702.25	 50.2724	 0.754	 0	 2.66e-05	 0	 0.00810559	 0.000109637	 0.016623	 0.000163327	 0.351426	 0.00489801	 119.851	 105	 0.249071
92	 100	 327.046	 4.60578	 2382.98	 42.2988	 0.754	 0	 2.66e-05	 0	 0.00791197	 0.000140644	 0.0166359	 0.000205898	 0.334569	 0.00574246	 127.671	 105	 0.257177
100	 120	 163.6	 2.06899	 1155.99	 18.3644	 0.754	 0	 2.66e-05	 0	 0.0077932	 0.000125025	 0.0157031	 0.000177614	 0.332413	 0.00513431	 102.131	 105	 0.25105
