[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[3.87472, 4.19761]; [-0.9, -0.85]: 0 / 0
[3.87472, 4.19761]; [-0.85, -0.8]: 0 / 0
[3.87472, 4.19761]; [-0.8, -0.75]: 0 / 0
[3.87472, 4.19761]; [-0.75, -0.7]: 0 / 0
[3.87472, 4.19761]; [-0.7, -0.65]: 0 / 0
[3.87472, 4.19761]; [-0.65, -0.6]: 0 / 0
[3.87472, 4.19761]; [-0.6, -0.55]: 0 / 0
[3.87472, 4.19761]; [-0.55, -0.5]: 0 / 0
[3.87472, 4.19761]; [-0.5, -0.45]: 0 / 0
[3.87472, 4.19761]; [-0.45, -0.4]: 0 / 0
[3.87472, 4.19761]; [-0.4, -0.35]: 0 / 0
[3.87472, 4.19761]; [-0.35, -0.3]: 147 / 18
[3.87472, 4.19761]; [-0.3, -0.25]: 6033 / 777
[3.87472, 4.19761]; [-0.25, -0.2]: 23922 / 3095
[3.87472, 4.19761]; [-0.2, -0.15]: 50597 / 6737
[3.87472, 4.19761]; [-0.15, -0.1]: 88560 / 11683
[3.87472, 4.19761]; [-0.1, -0.05]: 116780 / 15654
[3.87472, 4.19761]; [-0.05, 0]: 128610 / 17160
[3.87472, 4.19761]; [0, 0.05]: 128875 / 17328
[3.87472, 4.19761]; [0.05, 0.1]: 116902 / 15736
[3.87472, 4.19761]; [0.1, 0.15]: 87646 / 11794
[3.87472, 4.19761]; [0.15, 0.2]: 50737 / 6643
[3.87472, 4.19761]; [0.2, 0.25]: 23940 / 3240
[3.87472, 4.19761]; [0.25, 0.3]: 6204 / 831
[3.87472, 4.19761]; [0.3, 0.35]: 168 / 16
[3.87472, 4.19761]; [0.35, 0.4]: 0 / 0
[3.87472, 4.19761]; [0.4, 0.45]: 0 / 0
[3.87472, 4.19761]; [0.45, 0.5]: 0 / 0
[3.87472, 4.19761]; [0.5, 0.55]: 0 / 0
[3.87472, 4.19761]; [0.55, 0.6]: 0 / 0
[3.87472, 4.19761]; [0.6, 0.65]: 0 / 0
[3.87472, 4.19761]; [0.65, 0.7]: 0 / 0
[3.87472, 4.19761]; [0.7, 0.75]: 0 / 0
[3.87472, 4.19761]; [0.75, 0.8]: 0 / 0
[3.87472, 4.19761]; [0.8, 0.85]: 0 / 0
[3.87472, 4.19761]; [0.85, 0.9]: 0 / 0

[4.19761, 4.5205]; [-0.9, -0.85]: 0 / 0
[4.19761, 4.5205]; [-0.85, -0.8]: 0 / 0
[4.19761, 4.5205]; [-0.8, -0.75]: 0 / 0
[4.19761, 4.5205]; [-0.75, -0.7]: 0 / 0
[4.19761, 4.5205]; [-0.7, -0.65]: 0 / 0
[4.19761, 4.5205]; [-0.65, -0.6]: 0 / 0
[4.19761, 4.5205]; [-0.6, -0.55]: 0 / 0
[4.19761, 4.5205]; [-0.55, -0.5]: 0 / 0
[4.19761, 4.5205]; [-0.5, -0.45]: 0 / 0
[4.19761, 4.5205]; [-0.45, -0.4]: 0 / 0
[4.19761, 4.5205]; [-0.4, -0.35]: 82 / 12
[4.19761, 4.5205]; [-0.35, -0.3]: 4832 / 587
[4.19761, 4.5205]; [-0.3, -0.25]: 19911 / 2481
[4.19761, 4.5205]; [-0.25, -0.2]: 43648 / 5221
[4.19761, 4.5205]; [-0.2, -0.15]: 75053 / 9041
[4.19761, 4.5205]; [-0.15, -0.1]: 99003 / 11984
[4.19761, 4.5205]; [-0.1, -0.05]: 115966 / 14104
[4.19761, 4.5205]; [-0.05, 0]: 126320 / 15610
[4.19761, 4.5205]; [0, 0.05]: 125941 / 15633
[4.19761, 4.5205]; [0.05, 0.1]: 116403 / 14085
[4.19761, 4.5205]; [0.1, 0.15]: 98783 / 12033
[4.19761, 4.5205]; [0.15, 0.2]: 75103 / 9141
[4.19761, 4.5205]; [0.2, 0.25]: 43120 / 5260
[4.19761, 4.5205]; [0.25, 0.3]: 20068 / 2439
[4.19761, 4.5205]; [0.3, 0.35]: 4833 / 620
[4.19761, 4.5205]; [0.35, 0.4]: 79 / 11
[4.19761, 4.5205]; [0.4, 0.45]: 0 / 0
[4.19761, 4.5205]; [0.45, 0.5]: 0 / 0
[4.19761, 4.5205]; [0.5, 0.55]: 0 / 0
[4.19761, 4.5205]; [0.55, 0.6]: 0 / 0
[4.19761, 4.5205]; [0.6, 0.65]: 0 / 0
[4.19761, 4.5205]; [0.65, 0.7]: 0 / 0
[4.19761, 4.5205]; [0.7, 0.75]: 0 / 0
[4.19761, 4.5205]; [0.75, 0.8]: 0 / 0
[4.19761, 4.5205]; [0.8, 0.85]: 0 / 0
[4.19761, 4.5205]; [0.85, 0.9]: 0 / 0

[4.5205, 4.8434]; [-0.9, -0.85]: 0 / 0
[4.5205, 4.8434]; [-0.85, -0.8]: 0 / 0
[4.5205, 4.8434]; [-0.8, -0.75]: 0 / 0
[4.5205, 4.8434]; [-0.75, -0.7]: 0 / 0
[4.5205, 4.8434]; [-0.7, -0.65]: 0 / 0
[4.5205, 4.8434]; [-0.65, -0.6]: 0 / 0
[4.5205, 4.8434]; [-0.6, -0.55]: 0 / 0
[4.5205, 4.8434]; [-0.55, -0.5]: 0 / 0
[4.5205, 4.8434]; [-0.5, -0.45]: 0 / 0
[4.5205, 4.8434]; [-0.45, -0.4]: 4 / 1
[4.5205, 4.8434]; [-0.4, -0.35]: 2710 / 279
[4.5205, 4.8434]; [-0.35, -0.3]: 14531 / 1663
[4.5205, 4.8434]; [-0.3, -0.25]: 33764 / 3711
[4.5205, 4.8434]; [-0.25, -0.2]: 59742 / 6595
[4.5205, 4.8434]; [-0.2, -0.15]: 78788 / 9005
[4.5205, 4.8434]; [-0.15, -0.1]: 90731 / 10168
[4.5205, 4.8434]; [-0.1, -0.05]: 98961 / 10992
[4.5205, 4.8434]; [-0.05, 0]: 102708 / 11592
[4.5205, 4.8434]; [0, 0.05]: 101717 / 11624
[4.5205, 4.8434]; [0.05, 0.1]: 98792 / 11190
[4.5205, 4.8434]; [0.1, 0.15]: 90449 / 10048
[4.5205, 4.8434]; [0.15, 0.2]: 78276 / 8738
[4.5205, 4.8434]; [0.2, 0.25]: 59554 / 6746
[4.5205, 4.8434]; [0.25, 0.3]: 33668 / 3715
[4.5205, 4.8434]; [0.3, 0.35]: 14474 / 1632
[4.5205, 4.8434]; [0.35, 0.4]: 2722 / 293
[4.5205, 4.8434]; [0.4, 0.45]: 8 / 1
[4.5205, 4.8434]; [0.45, 0.5]: 0 / 0
[4.5205, 4.8434]; [0.5, 0.55]: 0 / 0
[4.5205, 4.8434]; [0.55, 0.6]: 0 / 0
[4.5205, 4.8434]; [0.6, 0.65]: 0 / 0
[4.5205, 4.8434]; [0.65, 0.7]: 0 / 0
[4.5205, 4.8434]; [0.7, 0.75]: 0 / 0
[4.5205, 4.8434]; [0.75, 0.8]: 0 / 0
[4.5205, 4.8434]; [0.8, 0.85]: 0 / 0
[4.5205, 4.8434]; [0.85, 0.9]: 0 / 0

[4.8434, 5.16629]; [-0.9, -0.85]: 0 / 0
[4.8434, 5.16629]; [-0.85, -0.8]: 0 / 0
[4.8434, 5.16629]; [-0.8, -0.75]: 0 / 0
[4.8434, 5.16629]; [-0.75, -0.7]: 0 / 0
[4.8434, 5.16629]; [-0.7, -0.65]: 0 / 0
[4.8434, 5.16629]; [-0.65, -0.6]: 0 / 0
[4.8434, 5.16629]; [-0.6, -0.55]: 0 / 0
[4.8434, 5.16629]; [-0.55, -0.5]: 0 / 0
[4.8434, 5.16629]; [-0.5, -0.45]: 0 / 0
[4.8434, 5.16629]; [-0.45, -0.4]: 943 / 81
[4.8434, 5.16629]; [-0.4, -0.35]: 9031 / 932
[4.8434, 5.16629]; [-0.35, -0.3]: 24003 / 2429
[4.8434, 5.16629]; [-0.3, -0.25]: 45142 / 4666
[4.8434, 5.16629]; [-0.25, -0.2]: 60220 / 6260
[4.8434, 5.16629]; [-0.2, -0.15]: 70048 / 7206
[4.8434, 5.16629]; [-0.15, -0.1]: 76693 / 8012
[4.8434, 5.16629]; [-0.1, -0.05]: 78129 / 8047
[4.8434, 5.16629]; [-0.05, 0]: 78445 / 8092
[4.8434, 5.16629]; [0, 0.05]: 78912 / 8056
[4.8434, 5.16629]; [0.05, 0.1]: 78439 / 8091
[4.8434, 5.16629]; [0.1, 0.15]: 76504 / 7979
[4.8434, 5.16629]; [0.15, 0.2]: 70316 / 7223
[4.8434, 5.16629]; [0.2, 0.25]: 60412 / 6191
[4.8434, 5.16629]; [0.25, 0.3]: 45076 / 4630
[4.8434, 5.16629]; [0.3, 0.35]: 24254 / 2517
[4.8434, 5.16629]; [0.35, 0.4]: 9114 / 926
[4.8434, 5.16629]; [0.4, 0.45]: 872 / 103
[4.8434, 5.16629]; [0.45, 0.5]: 0 / 0
[4.8434, 5.16629]; [0.5, 0.55]: 0 / 0
[4.8434, 5.16629]; [0.55, 0.6]: 0 / 0
[4.8434, 5.16629]; [0.6, 0.65]: 0 / 0
[4.8434, 5.16629]; [0.65, 0.7]: 0 / 0
[4.8434, 5.16629]; [0.7, 0.75]: 0 / 0
[4.8434, 5.16629]; [0.75, 0.8]: 0 / 0
[4.8434, 5.16629]; [0.8, 0.85]: 0 / 0
[4.8434, 5.16629]; [0.85, 0.9]: 0 / 0

[5.16629, 5.48918]; [-0.9, -0.85]: 0 / 0
[5.16629, 5.48918]; [-0.85, -0.8]: 0 / 0
[5.16629, 5.48918]; [-0.8, -0.75]: 0 / 0
[5.16629, 5.48918]; [-0.75, -0.7]: 0 / 0
[5.16629, 5.48918]; [-0.7, -0.65]: 0 / 0
[5.16629, 5.48918]; [-0.65, -0.6]: 0 / 0
[5.16629, 5.48918]; [-0.6, -0.55]: 0 / 0
[5.16629, 5.48918]; [-0.55, -0.5]: 0 / 0
[5.16629, 5.48918]; [-0.5, -0.45]: 110 / 12
[5.16629, 5.48918]; [-0.45, -0.4]: 4480 / 440
[5.16629, 5.48918]; [-0.4, -0.35]: 15528 / 1439
[5.16629, 5.48918]; [-0.35, -0.3]: 33011 / 3082
[5.16629, 5.48918]; [-0.3, -0.25]: 45936 / 4384
[5.16629, 5.48918]; [-0.25, -0.2]: 54374 / 5234
[5.16629, 5.48918]; [-0.2, -0.15]: 58850 / 5681
[5.16629, 5.48918]; [-0.15, -0.1]: 60330 / 5799
[5.16629, 5.48918]; [-0.1, -0.05]: 60472 / 5871
[5.16629, 5.48918]; [-0.05, 0]: 61146 / 5861
[5.16629, 5.48918]; [0, 0.05]: 60505 / 5897
[5.16629, 5.48918]; [0.05, 0.1]: 60733 / 5752
[5.16629, 5.48918]; [0.1, 0.15]: 59769 / 5898
[5.16629, 5.48918]; [0.15, 0.2]: 59041 / 5688
[5.16629, 5.48918]; [0.2, 0.25]: 53888 / 5214
[5.16629, 5.48918]; [0.25, 0.3]: 45774 / 4450
[5.16629, 5.48918]; [0.3, 0.35]: 32479 / 3062
[5.16629, 5.48918]; [0.35, 0.4]: 15649 / 1505
[5.16629, 5.48918]; [0.4, 0.45]: 4583 / 407
[5.16629, 5.48918]; [0.45, 0.5]: 125 / 11
[5.16629, 5.48918]; [0.5, 0.55]: 0 / 0
[5.16629, 5.48918]; [0.55, 0.6]: 0 / 0
[5.16629, 5.48918]; [0.6, 0.65]: 0 / 0
[5.16629, 5.48918]; [0.65, 0.7]: 0 / 0
[5.16629, 5.48918]; [0.7, 0.75]: 0 / 0
[5.16629, 5.48918]; [0.75, 0.8]: 0 / 0
[5.16629, 5.48918]; [0.8, 0.85]: 0 / 0
[5.16629, 5.48918]; [0.85, 0.9]: 0 / 0

[5.48918, 5.81208]; [-0.9, -0.85]: 0 / 0
[5.48918, 5.81208]; [-0.85, -0.8]: 0 / 0
[5.48918, 5.81208]; [-0.8, -0.75]: 0 / 0
[5.48918, 5.81208]; [-0.75, -0.7]: 0 / 0
[5.48918, 5.81208]; [-0.7, -0.65]: 0 / 0
[5.48918, 5.81208]; [-0.65, -0.6]: 0 / 0
[5.48918, 5.81208]; [-0.6, -0.55]: 0 / 0
[5.48918, 5.81208]; [-0.55, -0.5]: 0 / 0
[5.48918, 5.81208]; [-0.5, -0.45]: 1309 / 107
[5.48918, 5.81208]; [-0.45, -0.4]: 8708 / 815
[5.48918, 5.81208]; [-0.4, -0.35]: 21530 / 1903
[5.48918, 5.81208]; [-0.35, -0.3]: 33686 / 3140
[5.48918, 5.81208]; [-0.3, -0.25]: 41521 / 3794
[5.48918, 5.81208]; [-0.25, -0.2]: 46012 / 4192
[5.48918, 5.81208]; [-0.2, -0.15]: 46598 / 4224
[5.48918, 5.81208]; [-0.15, -0.1]: 47369 / 4221
[5.48918, 5.81208]; [-0.1, -0.05]: 47309 / 4154
[5.48918, 5.81208]; [-0.05, 0]: 47051 / 4227
[5.48918, 5.81208]; [0, 0.05]: 47565 / 4223
[5.48918, 5.81208]; [0.05, 0.1]: 47271 / 4289
[5.48918, 5.81208]; [0.1, 0.15]: 46981 / 4289
[5.48918, 5.81208]; [0.15, 0.2]: 47115 / 4332
[5.48918, 5.81208]; [0.2, 0.25]: 45770 / 4136
[5.48918, 5.81208]; [0.25, 0.3]: 41611 / 3768
[5.48918, 5.81208]; [0.3, 0.35]: 34141 / 3070
[5.48918, 5.81208]; [0.35, 0.4]: 21862 / 1926
[5.48918, 5.81208]; [0.4, 0.45]: 8766 / 809
[5.48918, 5.81208]; [0.45, 0.5]: 1402 / 119
[5.48918, 5.81208]; [0.5, 0.55]: 0 / 0
[5.48918, 5.81208]; [0.55, 0.6]: 0 / 0
[5.48918, 5.81208]; [0.6, 0.65]: 0 / 0
[5.48918, 5.81208]; [0.65, 0.7]: 0 / 0
[5.48918, 5.81208]; [0.7, 0.75]: 0 / 0
[5.48918, 5.81208]; [0.75, 0.8]: 0 / 0
[5.48918, 5.81208]; [0.8, 0.85]: 0 / 0
[5.48918, 5.81208]; [0.85, 0.9]: 0 / 0

[5.81208, 6.13497]; [-0.9, -0.85]: 0 / 0
[5.81208, 6.13497]; [-0.85, -0.8]: 0 / 0
[5.81208, 6.13497]; [-0.8, -0.75]: 0 / 0
[5.81208, 6.13497]; [-0.75, -0.7]: 0 / 0
[5.81208, 6.13497]; [-0.7, -0.65]: 0 / 0
[5.81208, 6.13497]; [-0.65, -0.6]: 0 / 0
[5.81208, 6.13497]; [-0.6, -0.55]: 0 / 0
[5.81208, 6.13497]; [-0.55, -0.5]: 139 / 13
[5.81208, 6.13497]; [-0.5, -0.45]: 3850 / 312
[5.81208, 6.13497]; [-0.45, -0.4]: 12692 / 1093
[5.81208, 6.13497]; [-0.4, -0.35]: 24639 / 1977
