[pTmin, pTmax]; [cosmin, cosmax]: PR entries / NP entries

[3.87472, 4.19761]; [-0.9, -0.85]: 0 / 0
[3.87472, 4.19761]; [-0.85, -0.8]: 0 / 0
[3.87472, 4.19761]; [-0.8, -0.75]: 0 / 0
[3.87472, 4.19761]; [-0.75, -0.7]: 0 / 0
[3.87472, 4.19761]; [-0.7, -0.65]: 0 / 0
[3.87472, 4.19761]; [-0.65, -0.6]: 0 / 0
[3.87472, 4.19761]; [-0.6, -0.55]: 0 / 0
[3.87472, 4.19761]; [-0.55, -0.5]: 0 / 0
[3.87472, 4.19761]; [-0.5, -0.45]: 0 / 0
[3.87472, 4.19761]; [-0.45, -0.4]: 0 / 0
[3.87472, 4.19761]; [-0.4, -0.35]: 0 / 0
[3.87472, 4.19761]; [-0.35, -0.3]: 266 / 147
[3.87472, 4.19761]; [-0.3, -0.25]: 11361 / 6033
[3.87472, 4.19761]; [-0.25, -0.2]: 45107 / 23922
[3.87472, 4.19761]; [-0.2, -0.15]: 95607 / 50597
[3.87472, 4.19761]; [-0.15, -0.1]: 167089 / 88560
[3.87472, 4.19761]; [-0.1, -0.05]: 222260 / 116780
[3.87472, 4.19761]; [-0.05, 0]: 245262 / 128610
[3.87472, 4.19761]; [0, 0.05]: 244306 / 128875
[3.87472, 4.19761]; [0.05, 0.1]: 221799 / 116902
[3.87472, 4.19761]; [0.1, 0.15]: 166578 / 87646
[3.87472, 4.19761]; [0.15, 0.2]: 95625 / 50737
[3.87472, 4.19761]; [0.2, 0.25]: 45663 / 23940
[3.87472, 4.19761]; [0.25, 0.3]: 11377 / 6204
[3.87472, 4.19761]; [0.3, 0.35]: 297 / 168
[3.87472, 4.19761]; [0.35, 0.4]: 0 / 0
[3.87472, 4.19761]; [0.4, 0.45]: 0 / 0
[3.87472, 4.19761]; [0.45, 0.5]: 0 / 0
[3.87472, 4.19761]; [0.5, 0.55]: 0 / 0
[3.87472, 4.19761]; [0.55, 0.6]: 0 / 0
[3.87472, 4.19761]; [0.6, 0.65]: 0 / 0
[3.87472, 4.19761]; [0.65, 0.7]: 0 / 0
[3.87472, 4.19761]; [0.7, 0.75]: 0 / 0
[3.87472, 4.19761]; [0.75, 0.8]: 0 / 0
[3.87472, 4.19761]; [0.8, 0.85]: 0 / 0
[3.87472, 4.19761]; [0.85, 0.9]: 0 / 0

[4.19761, 4.5205]; [-0.9, -0.85]: 0 / 0
[4.19761, 4.5205]; [-0.85, -0.8]: 0 / 0
[4.19761, 4.5205]; [-0.8, -0.75]: 0 / 0
[4.19761, 4.5205]; [-0.75, -0.7]: 0 / 0
[4.19761, 4.5205]; [-0.7, -0.65]: 0 / 0
[4.19761, 4.5205]; [-0.65, -0.6]: 0 / 0
[4.19761, 4.5205]; [-0.6, -0.55]: 0 / 0
[4.19761, 4.5205]; [-0.55, -0.5]: 0 / 0
[4.19761, 4.5205]; [-0.5, -0.45]: 0 / 0
[4.19761, 4.5205]; [-0.45, -0.4]: 0 / 0
[4.19761, 4.5205]; [-0.4, -0.35]: 116 / 82
[4.19761, 4.5205]; [-0.35, -0.3]: 7962 / 4832
[4.19761, 4.5205]; [-0.3, -0.25]: 34105 / 19911
[4.19761, 4.5205]; [-0.25, -0.2]: 74595 / 43648
[4.19761, 4.5205]; [-0.2, -0.15]: 128091 / 75053
[4.19761, 4.5205]; [-0.15, -0.1]: 170455 / 99003
[4.19761, 4.5205]; [-0.1, -0.05]: 198728 / 115966
[4.19761, 4.5205]; [-0.05, 0]: 217003 / 126320
[4.19761, 4.5205]; [0, 0.05]: 215590 / 125941
[4.19761, 4.5205]; [0.05, 0.1]: 198181 / 116403
[4.19761, 4.5205]; [0.1, 0.15]: 169694 / 98783
[4.19761, 4.5205]; [0.15, 0.2]: 129093 / 75103
[4.19761, 4.5205]; [0.2, 0.25]: 73638 / 43120
[4.19761, 4.5205]; [0.25, 0.3]: 34092 / 20068
[4.19761, 4.5205]; [0.3, 0.35]: 8035 / 4833
[4.19761, 4.5205]; [0.35, 0.4]: 130 / 79
[4.19761, 4.5205]; [0.4, 0.45]: 0 / 0
[4.19761, 4.5205]; [0.45, 0.5]: 0 / 0
[4.19761, 4.5205]; [0.5, 0.55]: 0 / 0
[4.19761, 4.5205]; [0.55, 0.6]: 0 / 0
[4.19761, 4.5205]; [0.6, 0.65]: 0 / 0
[4.19761, 4.5205]; [0.65, 0.7]: 0 / 0
[4.19761, 4.5205]; [0.7, 0.75]: 0 / 0
[4.19761, 4.5205]; [0.75, 0.8]: 0 / 0
[4.19761, 4.5205]; [0.8, 0.85]: 0 / 0
[4.19761, 4.5205]; [0.85, 0.9]: 0 / 0

[4.5205, 4.8434]; [-0.9, -0.85]: 0 / 0
[4.5205, 4.8434]; [-0.85, -0.8]: 0 / 0
[4.5205, 4.8434]; [-0.8, -0.75]: 0 / 0
[4.5205, 4.8434]; [-0.75, -0.7]: 0 / 0
[4.5205, 4.8434]; [-0.7, -0.65]: 0 / 0
[4.5205, 4.8434]; [-0.65, -0.6]: 0 / 0
[4.5205, 4.8434]; [-0.6, -0.55]: 0 / 0
[4.5205, 4.8434]; [-0.55, -0.5]: 0 / 0
[4.5205, 4.8434]; [-0.5, -0.45]: 0 / 0
[4.5205, 4.8434]; [-0.45, -0.4]: 8 / 4
[4.5205, 4.8434]; [-0.4, -0.35]: 3976 / 2710
[4.5205, 4.8434]; [-0.35, -0.3]: 22671 / 14531
[4.5205, 4.8434]; [-0.3, -0.25]: 52848 / 33764
[4.5205, 4.8434]; [-0.25, -0.2]: 93399 / 59742
[4.5205, 4.8434]; [-0.2, -0.15]: 122799 / 78788
[4.5205, 4.8434]; [-0.15, -0.1]: 141588 / 90731
[4.5205, 4.8434]; [-0.1, -0.05]: 155072 / 98961
[4.5205, 4.8434]; [-0.05, 0]: 159408 / 102708
[4.5205, 4.8434]; [0, 0.05]: 159733 / 101717
[4.5205, 4.8434]; [0.05, 0.1]: 154790 / 98792
[4.5205, 4.8434]; [0.1, 0.15]: 141917 / 90449
[4.5205, 4.8434]; [0.15, 0.2]: 121976 / 78276
[4.5205, 4.8434]; [0.2, 0.25]: 92628 / 59554
[4.5205, 4.8434]; [0.25, 0.3]: 52450 / 33668
[4.5205, 4.8434]; [0.3, 0.35]: 22533 / 14474
[4.5205, 4.8434]; [0.35, 0.4]: 4085 / 2722
[4.5205, 4.8434]; [0.4, 0.45]: 7 / 8
[4.5205, 4.8434]; [0.45, 0.5]: 0 / 0
[4.5205, 4.8434]; [0.5, 0.55]: 0 / 0
[4.5205, 4.8434]; [0.55, 0.6]: 0 / 0
[4.5205, 4.8434]; [0.6, 0.65]: 0 / 0
[4.5205, 4.8434]; [0.65, 0.7]: 0 / 0
[4.5205, 4.8434]; [0.7, 0.75]: 0 / 0
[4.5205, 4.8434]; [0.75, 0.8]: 0 / 0
[4.5205, 4.8434]; [0.8, 0.85]: 0 / 0
[4.5205, 4.8434]; [0.85, 0.9]: 0 / 0

[4.8434, 5.16629]; [-0.9, -0.85]: 0 / 0
[4.8434, 5.16629]; [-0.85, -0.8]: 0 / 0
[4.8434, 5.16629]; [-0.8, -0.75]: 0 / 0
[4.8434, 5.16629]; [-0.75, -0.7]: 0 / 0
[4.8434, 5.16629]; [-0.7, -0.65]: 0 / 0
[4.8434, 5.16629]; [-0.65, -0.6]: 0 / 0
[4.8434, 5.16629]; [-0.6, -0.55]: 0 / 0
[4.8434, 5.16629]; [-0.55, -0.5]: 0 / 0
[4.8434, 5.16629]; [-0.5, -0.45]: 0 / 0
[4.8434, 5.16629]; [-0.45, -0.4]: 1334 / 943
[4.8434, 5.16629]; [-0.4, -0.35]: 13030 / 9031
[4.8434, 5.16629]; [-0.35, -0.3]: 34896 / 24003
[4.8434, 5.16629]; [-0.3, -0.25]: 65250 / 45142
[4.8434, 5.16629]; [-0.25, -0.2]: 87250 / 60220
[4.8434, 5.16629]; [-0.2, -0.15]: 100778 / 70048
[4.8434, 5.16629]; [-0.15, -0.1]: 110117 / 76693
[4.8434, 5.16629]; [-0.1, -0.05]: 112055 / 78129
[4.8434, 5.16629]; [-0.05, 0]: 112975 / 78445
[4.8434, 5.16629]; [0, 0.05]: 112494 / 78912
[4.8434, 5.16629]; [0.05, 0.1]: 112114 / 78439
[4.8434, 5.16629]; [0.1, 0.15]: 110675 / 76504
[4.8434, 5.16629]; [0.15, 0.2]: 101322 / 70316
[4.8434, 5.16629]; [0.2, 0.25]: 86742 / 60412
[4.8434, 5.16629]; [0.25, 0.3]: 64956 / 45076
[4.8434, 5.16629]; [0.3, 0.35]: 34673 / 24254
[4.8434, 5.16629]; [0.35, 0.4]: 13093 / 9114
[4.8434, 5.16629]; [0.4, 0.45]: 1325 / 872
[4.8434, 5.16629]; [0.45, 0.5]: 0 / 0
[4.8434, 5.16629]; [0.5, 0.55]: 0 / 0
[4.8434, 5.16629]; [0.55, 0.6]: 0 / 0
[4.8434, 5.16629]; [0.6, 0.65]: 0 / 0
[4.8434, 5.16629]; [0.65, 0.7]: 0 / 0
[4.8434, 5.16629]; [0.7, 0.75]: 0 / 0
[4.8434, 5.16629]; [0.75, 0.8]: 0 / 0
[4.8434, 5.16629]; [0.8, 0.85]: 0 / 0
[4.8434, 5.16629]; [0.85, 0.9]: 0 / 0

[5.16629, 5.48918]; [-0.9, -0.85]: 0 / 0
[5.16629, 5.48918]; [-0.85, -0.8]: 0 / 0
[5.16629, 5.48918]; [-0.8, -0.75]: 0 / 0
[5.16629, 5.48918]; [-0.75, -0.7]: 0 / 0
[5.16629, 5.48918]; [-0.7, -0.65]: 0 / 0
[5.16629, 5.48918]; [-0.65, -0.6]: 0 / 0
[5.16629, 5.48918]; [-0.6, -0.55]: 0 / 0
[5.16629, 5.48918]; [-0.55, -0.5]: 0 / 0
[5.16629, 5.48918]; [-0.5, -0.45]: 139 / 110
[5.16629, 5.48918]; [-0.45, -0.4]: 5971 / 4480
[5.16629, 5.48918]; [-0.4, -0.35]: 20404 / 15528
[5.16629, 5.48918]; [-0.35, -0.3]: 43334 / 33011
[5.16629, 5.48918]; [-0.3, -0.25]: 61462 / 45936
[5.16629, 5.48918]; [-0.25, -0.2]: 72255 / 54374
[5.16629, 5.48918]; [-0.2, -0.15]: 79024 / 58850
[5.16629, 5.48918]; [-0.15, -0.1]: 80720 / 60330
[5.16629, 5.48918]; [-0.1, -0.05]: 80199 / 60472
[5.16629, 5.48918]; [-0.05, 0]: 80825 / 61146
[5.16629, 5.48918]; [0, 0.05]: 80228 / 60505
[5.16629, 5.48918]; [0.05, 0.1]: 80763 / 60733
[5.16629, 5.48918]; [0.1, 0.15]: 80667 / 59769
[5.16629, 5.48918]; [0.15, 0.2]: 78646 / 59041
[5.16629, 5.48918]; [0.2, 0.25]: 72775 / 53888
[5.16629, 5.48918]; [0.25, 0.3]: 60841 / 45774
[5.16629, 5.48918]; [0.3, 0.35]: 43190 / 32479
[5.16629, 5.48918]; [0.35, 0.4]: 20765 / 15649
[5.16629, 5.48918]; [0.4, 0.45]: 6117 / 4583
[5.16629, 5.48918]; [0.45, 0.5]: 153 / 125
[5.16629, 5.48918]; [0.5, 0.55]: 0 / 0
[5.16629, 5.48918]; [0.55, 0.6]: 0 / 0
[5.16629, 5.48918]; [0.6, 0.65]: 0 / 0
[5.16629, 5.48918]; [0.65, 0.7]: 0 / 0
[5.16629, 5.48918]; [0.7, 0.75]: 0 / 0
[5.16629, 5.48918]; [0.75, 0.8]: 0 / 0
[5.16629, 5.48918]; [0.8, 0.85]: 0 / 0
[5.16629, 5.48918]; [0.85, 0.9]: 0 / 0

[5.48918, 5.81208]; [-0.9, -0.85]: 0 / 0
[5.48918, 5.81208]; [-0.85, -0.8]: 0 / 0
[5.48918, 5.81208]; [-0.8, -0.75]: 0 / 0
[5.48918, 5.81208]; [-0.75, -0.7]: 0 / 0
[5.48918, 5.81208]; [-0.7, -0.65]: 0 / 0
[5.48918, 5.81208]; [-0.65, -0.6]: 0 / 0
[5.48918, 5.81208]; [-0.6, -0.55]: 0 / 0
[5.48918, 5.81208]; [-0.55, -0.5]: 0 / 0
[5.48918, 5.81208]; [-0.5, -0.45]: 1697 / 1309
[5.48918, 5.81208]; [-0.45, -0.4]: 10934 / 8708
[5.48918, 5.81208]; [-0.4, -0.35]: 27159 / 21530
[5.48918, 5.81208]; [-0.35, -0.3]: 42814 / 33686
[5.48918, 5.81208]; [-0.3, -0.25]: 52055 / 41521
[5.48918, 5.81208]; [-0.25, -0.2]: 57302 / 46012
[5.48918, 5.81208]; [-0.2, -0.15]: 58104 / 46598
[5.48918, 5.81208]; [-0.15, -0.1]: 58308 / 47369
[5.48918, 5.81208]; [-0.1, -0.05]: 58271 / 47309
[5.48918, 5.81208]; [-0.05, 0]: 58694 / 47051
[5.48918, 5.81208]; [0, 0.05]: 58125 / 47565
[5.48918, 5.81208]; [0.05, 0.1]: 58320 / 47271
[5.48918, 5.81208]; [0.1, 0.15]: 58365 / 46981
[5.48918, 5.81208]; [0.15, 0.2]: 58194 / 47115
[5.48918, 5.81208]; [0.2, 0.25]: 56837 / 45770
[5.48918, 5.81208]; [0.25, 0.3]: 51707 / 41611
[5.48918, 5.81208]; [0.3, 0.35]: 42259 / 34141
[5.48918, 5.81208]; [0.35, 0.4]: 27058 / 21862
[5.48918, 5.81208]; [0.4, 0.45]: 10949 / 8766
[5.48918, 5.81208]; [0.45, 0.5]: 1745 / 1402
[5.48918, 5.81208]; [0.5, 0.55]: 0 / 0
[5.48918, 5.81208]; [0.55, 0.6]: 0 / 0
[5.48918, 5.81208]; [0.6, 0.65]: 0 / 0
[5.48918, 5.81208]; [0.65, 0.7]: 0 / 0
[5.48918, 5.81208]; [0.7, 0.75]: 0 / 0
[5.48918, 5.81208]; [0.75, 0.8]: 0 / 0
[5.48918, 5.81208]; [0.8, 0.85]: 0 / 0
[5.48918, 5.81208]; [0.85, 0.9]: 0 / 0

[5.81208, 6.13497]; [-0.9, -0.85]: 0 / 0
[5.81208, 6.13497]; [-0.85, -0.8]: 0 / 0
[5.81208, 6.13497]; [-0.8, -0.75]: 0 / 0
[5.81208, 6.13497]; [-0.75, -0.7]: 0 / 0
[5.81208, 6.13497]; [-0.7, -0.65]: 0 / 0
[5.81208, 6.13497]; [-0.65, -0.6]: 0 / 0
[5.81208, 6.13497]; [-0.6, -0.55]: 0 / 0
[5.81208, 6.13497]; [-0.55, -0.5]: 162 / 139
[5.81208, 6.13497]; [-0.5, -0.45]: 4579 / 3850
[5.81208, 6.13497]; [-0.45, -0.4]: 15153 / 12692
[5.81208, 6.13497]; [-0.4, -0.35]: 28943 / 24639
