pt_min	 pt_max	 N_PR	 eN_PR	 N_NP	 eN_NP	 f	 ef	 mu	 emu	 sigma1	 esigma1	 sigma2	 esigma2	 lambda	 elambda	 chi2	 NDF	 f_NP
25	 28	 184662	 151.237	 806656	 1101.45	 0.729903	 0.00502944	 2.66e-05	 0	 0.0125451	 4.12458e-05	 0.0231054	 0.000118492	 0.360041	 0.000495671	 373.408	 104	 0.173434
28	 31	 116342	 123.723	 552370	 911.624	 0.724434	 0.00607312	 2.66e-05	 0	 0.0120371	 4.96014e-05	 0.0221121	 0.000130282	 0.359849	 0.000600887	 272.537	 104	 0.185408
31	 34	 75593	 100.836	 381987	 757.458	 0.729804	 0.00675616	 2.66e-05	 0	 0.0116054	 5.53314e-05	 0.0214929	 0.000143227	 0.361135	 0.000735716	 216.257	 104	 0.19488
34	 37	 50458.9	 83.3819	 268453	 641.301	 0.740045	 0.00793863	 2.66e-05	 0	 0.0113411	 6.4237e-05	 0.0211046	 0.000171062	 0.361324	 0.000885093	 217.329	 104	 0.202926
37	 40	 34789	 69.3535	 192172	 545.393	 0.767964	 0.00817517	 2.66e-05	 0	 0.0111247	 6.68888e-05	 0.0211512	 0.000202803	 0.362524	 0.00106827	 169.112	 104	 0.209174
40	 43	 24348.9	 58.5707	 140936	 472.829	 0.761315	 0.010167	 2.66e-05	 0	 0.0108427	 8.0516e-05	 0.0204176	 0.000232299	 0.357752	 0.0012294	 148.061	 104	 0.216657
43	 46	 17456.2	 50.0527	 103966	 407.649	 0.777038	 0.0103312	 2.66e-05	 0	 0.0105886	 8.46868e-05	 0.0204378	 0.000257732	 0.359485	 0.0014475	 121.217	 104	 0.221495
46	 51	 11523.4	 31.6045	 70951.4	 262.206	 0.784676	 0.00934103	 2.66e-05	 0	 0.0103537	 7.62953e-05	 0.0201051	 0.000236515	 0.358001	 0.00136053	 153.792	 104	 0.22722
51	 56	 7127.61	 25.2383	 44969.4	 213.687	 0.818264	 0.0104346	 2.66e-05	 0	 0.0101901	 8.76281e-05	 0.0204471	 0.000332765	 0.359756	 0.00174825	 146.675	 104	 0.23171
56	 61	 4502	 20.1338	 29383.2	 172.367	 0.801027	 0.0133207	 2.66e-05	 0	 0.00988244	 0.00010735	 0.0193527	 0.000348716	 0.355605	 0.0021322	 118.58	 104	 0.237523
61	 66	 2997.95	 16.8461	 19724.1	 141.772	 0.793583	 0.0151394	 2.66e-05	 0	 0.00936154	 0.000126968	 0.0188026	 0.000376197	 0.35783	 0.00275301	 113.609	 104	 0.238905
66	 71	 1998.09	 13.9252	 13561.6	 121.693	 0.768444	 0.0209565	 2.66e-05	 0	 0.00898047	 0.000165536	 0.0178084	 0.000432843	 0.354529	 0.00321631	 102.956	 104	 0.244295
71	 76	 1387.57	 11.463	 9325.67	 98.6618	 0.834579	 0.0193821	 2.66e-05	 0	 0.00926854	 0.00016162	 0.0191215	 0.000636769	 0.356451	 0.00394216	 121.6	 104	 0.242506
76	 84	 881.655	 7.52175	 6104.41	 66.1347	 0.810576	 0.0213389	 2.66e-05	 0	 0.00883515	 0.000174935	 0.0180732	 0.000561168	 0.353799	 0.00383651	 109.254	 104	 0.247703
84	 92	 527.784	 5.72627	 3675.59	 49.9838	 0.825255	 0.0213825	 2.66e-05	 0	 0.00858754	 0.000184581	 0.0182516	 0.000642104	 0.35133	 0.00486632	 111.014	 104	 0.249069
92	 100	 325.164	 4.56756	 2368.37	 40.6149	 0.813156	 0.0271407	 2.66e-05	 0	 0.00832237	 0.000232966	 0.0179567	 0.000769242	 0.33445	 0.00573009	 123.583	 104	 0.257202
100	 120	 162.479	 2.10228	 1147.19	 18.2742	 0.818919	 0.0286511	 2.66e-05	 0	 0.00821593	 0.000223788	 0.0170342	 0.000745009	 0.332423	 0.00527146	 98.0773	 104	 0.251
